Date_time,original_price,buy,sell,trade_type
03.01.2021,32741.67,,,hold
03.01.2021,32573.87,,,hold
03.01.2021,33192.53,,,hold
03.01.2021,33758.67,,,hold
03.01.2021,33967.13,,,hold
03.01.2021,34452.34,,,hold
03.01.2021,34367.68,,,hold
03.01.2021,34190.55,,,hold
03.01.2021,33877.96,,,hold
03.01.2021,34413.53,,,hold
03.01.2021,34103.72,,,hold
03.01.2021,33880,,,hold
03.01.2021,33811.54,,,hold
03.01.2021,33506.62,,,hold
03.01.2021,32676.74,,,hold
03.01.2021,32909.27,,,hold
03.01.2021,32769.76,,,hold
03.01.2021,32772.21,,,hold
03.01.2021,33726.21,,,hold
03.01.2021,33558.34,,,hold
03.01.2021,33119.14,,,hold
03.01.2021,33000.05,,,hold
04.01.2021,32843.88,,,hold
04.01.2021,33191.04,,,hold
04.01.2021,33454.22,,,hold
04.01.2021,33505.16,,,hold
04.01.2021,33257.55,,,hold
04.01.2021,32813.01,,,hold
04.01.2021,33100.02,,,hold
04.01.2021,32068.84,,,hold
04.01.2021,32045.14,,,hold
04.01.2021,31038.63,,,hold
04.01.2021,30270.76,,,hold
04.01.2021,30743.06,,,hold
04.01.2021,31219.02,,,hold
04.01.2021,31400,,,hold
04.01.2021,32113.68,,,hold
04.01.2021,31745.72,,,hold
04.01.2021,31320.31,,,hold
04.01.2021,31024.17,,,hold
04.01.2021,31165.16,,,hold
04.01.2021,31665.51,,,hold
04.01.2021,31244.97,,,hold
04.01.2021,31014.27,,,hold
04.01.2021,31332.05,,,hold
04.01.2021,31988.71,,,hold
05.01.2021,32430.49,,,hold
05.01.2021,32786.06,,,hold
05.01.2021,32306.64,,,hold
05.01.2021,31200,,,hold
05.01.2021,30858.98,,,hold
05.01.2021,30436.25,,,hold
05.01.2021,31123.25,,,hold
05.01.2021,30817.77,,,hold
05.01.2021,31192.09,,,hold
05.01.2021,31569.63,,,hold
05.01.2021,31345.77,,,hold
05.01.2021,31776.66,,,hold
05.01.2021,31585.01,,,hold
05.01.2021,31460.01,,,hold
05.01.2021,32342.33,,,hold
05.01.2021,32099.98,,,hold
05.01.2021,32469.9,32469.9,,buy
05.01.2021,32742.73,,,hold
05.01.2021,33372.84,,,hold
05.01.2021,33697.75,,,hold
05.01.2021,33969.17,,,hold
05.01.2021,33699.63,,,hold
05.01.2021,34183.42,,,hold
05.01.2021,33949.53,,,hold
06.01.2021,33918.01,,,hold
06.01.2021,33811.28,,,hold
06.01.2021,33873.3,,,hold
06.01.2021,34117.59,,,hold
06.01.2021,35325.91,,,hold
06.01.2021,34978.91,,,hold
06.01.2021,35125.51,,,hold
06.01.2021,34676.4,,,hold
06.01.2021,34594.28,,,hold
06.01.2021,33919.5,,,hold
06.01.2021,34417.36,,,hold
06.01.2021,34918.53,,,hold
06.01.2021,34929.87,,,hold
06.01.2021,34550,,,hold
06.01.2021,34213.46,,,hold
06.01.2021,34566.19,,,hold
06.01.2021,34612.41,,,hold
06.01.2021,34898.52,,,hold
06.01.2021,35215.75,,,hold
06.01.2021,34816.72,,,hold
06.01.2021,36015.88,,,hold
06.01.2021,35874.16,,,hold
06.01.2021,35989.63,,,hold
06.01.2021,36769.36,,,hold
07.01.2021,37150.66,,,hold
07.01.2021,36871.47,,,hold
07.01.2021,36962.37,,,hold
07.01.2021,37454.48,,,hold
07.01.2021,37450.95,,,hold
07.01.2021,37347.2,,,hold
07.01.2021,37130.84,,,hold
07.01.2021,36859.85,,,hold
07.01.2021,37217.55,,,hold
07.01.2021,37492.69,,,hold
07.01.2021,37045.45,,,hold
07.01.2021,37822.09,,,hold
07.01.2021,37941.36,,,hold
07.01.2021,38161.6,,,hold
07.01.2021,38453.97,,,hold
07.01.2021,38970.42,,,hold
07.01.2021,39120.01,,,hold
07.01.2021,39732.92,,,hold
07.01.2021,38948.48,,,hold
07.01.2021,39062,,,hold
07.01.2021,39109.38,,,hold
07.01.2021,39687.11,,,hold
07.01.2021,39665.92,,,hold
07.01.2021,39432.28,,,hold
08.01.2021,38793.23,,,hold
08.01.2021,38681.37,,,hold
08.01.2021,37181.74,,,hold
08.01.2021,38347.1,,,hold
08.01.2021,38668.92,,,hold
08.01.2021,37975.25,,,hold
08.01.2021,38537.94,,,hold
08.01.2021,38930.55,,,hold
08.01.2021,38648.95,,,hold
08.01.2021,39358.34,,,hold
08.01.2021,40721.45,,,hold
08.01.2021,41286.67,,,hold
08.01.2021,41316.91,,,hold
08.01.2021,41311.18,,,hold
08.01.2021,41454.13,,,hold
08.01.2021,40829.08,,,hold
08.01.2021,41303.42,,,hold
08.01.2021,41009.07,,,hold
08.01.2021,39920.39,,,hold
08.01.2021,40365.09,,,hold
08.01.2021,39059.15,,,hold
08.01.2021,40075.82,,,hold
08.01.2021,40674.45,,,hold
08.01.2021,40582.81,,,hold
09.01.2021,40283.56,,,hold
09.01.2021,40198.56,,,hold
09.01.2021,39973,,,hold
09.01.2021,40211.59,,,hold
09.01.2021,40206.44,,,hold
09.01.2021,39295.37,,,hold
09.01.2021,38984.86,,,hold
09.01.2021,39638.61,,,hold
09.01.2021,40172.14,,,hold
09.01.2021,40348.35,,,hold
09.01.2021,40376.03,,,hold
09.01.2021,40565.77,,,hold
09.01.2021,40874.99,,,hold
09.01.2021,41051.65,,,hold
09.01.2021,40819.01,,,hold
09.01.2021,40525.15,,,hold
09.01.2021,39995.1,,,hold
09.01.2021,40421.4,,,hold
09.01.2021,40650.01,,,hold
09.01.2021,40665.91,,,hold
09.01.2021,40606.22,,,hold
09.01.2021,40718.8,,,hold
09.01.2021,40281.09,,,hold
09.01.2021,40088.22,,,hold
10.01.2021,40581.48,,,hold
10.01.2021,41141.56,,,hold
10.01.2021,40945.28,,,hold
10.01.2021,40316.64,,,hold
10.01.2021,40342.46,,,hold
10.01.2021,40451.84,,,hold
10.01.2021,40904.5,,,hold
10.01.2021,40978.57,,,hold
10.01.2021,40798.29,,,hold
10.01.2021,40768.48,,,hold
10.01.2021,40429.2,,,hold
10.01.2021,39181.76,,,hold
10.01.2021,39538.57,,,hold
10.01.2021,39800.9,,,hold
