"date","hits.daily","hits.monthly","adjusted.hits.daily"
2017-01-01,46,6,2.76
2017-01-02,76,6,4.56
2017-01-03,69,6,4.14
2017-01-04,83,6,4.98
2017-01-05,100,6,6
2017-01-06,91,6,5.46
2017-01-07,75,6,4.5
2017-01-08,68,6,4.08
2017-01-09,68,6,4.08
2017-01-10,57,6,3.42
2017-01-11,77,6,4.62
2017-01-12,76,6,4.56
2017-01-13,58,6,3.48
2017-01-14,55,6,3.3
2017-01-15,56,6,3.36
2017-01-16,55,6,3.3
2017-01-17,53,6,3.18
2017-01-18,55,6,3.3
2017-01-19,52,6,3.12
2017-01-20,50,6,3
2017-01-21,49,6,2.94
2017-01-22,50,6,3
2017-01-23,48,6,2.88
2017-01-24,47,6,2.82
2017-01-25,47,6,2.82
2017-01-26,46,6,2.76
2017-01-27,43,6,2.58
2017-01-28,43,6,2.58
2017-01-29,42,6,2.52
2017-01-30,47,6,2.82
2017-01-31,46,6,2.76
2017-02-01,64,6,3.84
2017-02-02,71,6,4.26
2017-02-03,72,6,4.32
2017-02-04,67,6,4.02
2017-02-05,59,6,3.54
2017-02-06,59,6,3.54
2017-02-07,65,6,3.9
2017-02-08,74,6,4.44
2017-02-09,80,6,4.8
2017-02-10,73,6,4.38
2017-02-11,72,6,4.32
2017-02-12,60,6,3.6
2017-02-13,66,6,3.96
2017-02-14,63,6,3.78
2017-02-15,57,6,3.42
2017-02-16,66,6,3.96
2017-02-17,67,6,4.02
2017-02-18,68,6,4.08
2017-02-19,57,6,3.42
2017-02-20,61,6,3.66
2017-02-21,72,6,4.32
2017-02-22,81,6,4.86
2017-02-23,81,6,4.86
2017-02-24,100,6,6
2017-02-25,86,6,5.16
2017-02-26,63,6,3.78
2017-02-27,78,6,4.68
2017-02-28,83,6,4.98
2017-03-01,61,7,4.27
2017-03-02,80,7,5.6
2017-03-03,100,7,7
2017-03-04,71,7,4.97
2017-03-05,66,7,4.62
2017-03-06,73,7,5.11
2017-03-07,69,7,4.83
2017-03-08,80,7,5.6
2017-03-09,76,7,5.32
2017-03-10,99,7,6.93
2017-03-11,87,7,6.09
2017-03-12,61,7,4.27
2017-03-13,65,7,4.55
2017-03-14,65,7,4.55
2017-03-15,67,7,4.69
2017-03-16,63,7,4.41
2017-03-17,68,7,4.76
2017-03-18,75,7,5.25
2017-03-19,62,7,4.34
2017-03-20,68,7,4.76
2017-03-21,63,7,4.41
2017-03-22,64,7,4.48
2017-03-23,58,7,4.06
2017-03-24,61,7,4.27
2017-03-25,69,7,4.83
2017-03-26,61,7,4.27
2017-03-27,63,7,4.41
2017-03-28,59,7,4.13
2017-03-29,58,7,4.06
2017-03-30,53,7,3.71
2017-03-31,51,7,3.57
2017-04-01,77,6,4.62
2017-04-02,80,6,4.8
2017-04-03,85,6,5.1
2017-04-04,94,6,5.64
2017-04-05,88,6,5.28
2017-04-06,78,6,4.68
2017-04-07,81,6,4.86
2017-04-08,82,6,4.92
2017-04-09,81,6,4.86
2017-04-10,83,6,4.98
2017-04-11,89,6,5.34
