Profit,Benchmark_Profit,Profit_Percent,Benchmark_Profit_Percent,Model_Reward,Overall_Reward
-8379.436117,5104.642447,-83.79436117,51.04642447,-8379.436117,-93104898.19
-5059.334107,14478.70027,-50.59334107,144.7870027,-5059.334107,-17100620.86
-9835.928637,11226.08537,-98.35928637,112.2608537,-9835.928637,-182474350.1
6576.532258,20584.59554,65.76532258,205.8459554,6576.532258,36042621.52
-3813.115528,1587.191426,-38.13115528,15.87191426,-3813.115528,-32201949.16
-6483.596544,580.1083132,-64.83596544,5.801083132,-6483.596544,-69999445.87
-8902.118951,8290.471076,-89.02118951,82.90471076,-8902.118951,-81960805.57
-9977.786899,1409.472422,-99.77786899,14.09472422,-9977.786899,-85448001.41
-9473.445014,15318.88789,-94.73445014,153.1888789,-9473.445014,-33616802.53
-8024.778476,5719.739347,-80.24778476,57.19739347,-8024.778476,-19814621.71
-8342.843475,-6529.076642,-83.42843475,-65.29076642,-8342.843475,-32628453.38
-868.3555692,2918.392375,-8.683555692,29.18392375,-868.3555692,-5437852.325
-9978.244483,17355.02224,-99.78244483,173.5502224,-9978.244483,-138361922.1
-9853.701204,58247.30805,-98.53701204,582.4730805,-9853.701204,-240624529.8
-4259.003188,-1870.338227,-42.59003188,-18.70338227,-4259.003188,-76971299.74
-1674.143056,-1988.039827,-16.74143056,-19.88039827,-1674.143056,-822499.1942
-7003.665107,28221.58744,-70.03665107,282.2158744,-7003.665107,-112145199.4
-9933.920453,-4983.600379,-99.33920453,-49.83600379,-9933.920453,-115560021.5
-9390.050805,4929.116755,-93.90050805,49.29116755,-9390.050805,-86834401.64
-9792.997869,21582.70781,-97.92997869,215.8270781,-9792.997869,-140602581.9
-4219.035066,-4174.148492,-42.19035066,-41.74148492,-4219.035066,19006142.28
-9283.817185,-571.0997208,-92.83817185,-5.710997208,-9283.817185,-161342131.4
-9302.740466,6582.994269,-93.02740466,65.82994269,-9302.740466,-85643635.08
-7517.944037,-4929.674501,-75.17944037,-49.29674501,-7517.944037,-16165724.68
-9891.573928,7101.867395,-98.91573928,71.01867395,-9891.573928,-125546054.2
-7422.273372,26021.32982,-74.22273372,260.2132982,-7422.273372,-102062688.4
-801.6947291,8016.359044,-8.016947291,80.16359044,-801.6947291,-2975511.117
-3361.622937,12006.60152,-33.61622937,120.0660152,-3361.622937,-23088480.09
-8124.156161,-3738.815235,-81.24156161,-37.38815235,-8124.156161,-18935589.15
-9874.709189,14030.52724,-98.74709189,140.3052724,-9874.709189,-221861920.7
-9546.801022,-3702.238806,-95.46801022,-37.02238806,-9546.801022,-68767046.41
-6294.453107,9767.610086,-62.94453107,97.67610086,-6294.453107,-10327453.41
-1061.453813,4257.933784,-10.61453813,42.57933784,-1061.453813,-126207.7816
-9818.104225,15013.18759,-98.18104225,150.1318759,-9818.104225,-116602919.2
-9068.243074,-77.42110107,-90.68243074,-0.774211011,-9068.243074,-37764917.28
-9520.407783,30843.29159,-95.20407783,308.4329159,-9520.407783,-227212742.9
-9999.385293,5698.775082,-99.99385293,56.98775082,-9999.385293,-128966538.6
-8668.602197,-5307.941702,-86.68602197,-53.07941702,-8668.602197,-148626087.6
5979.332671,3680.682959,59.79332671,36.80682959,5979.332671,26962780.31
241.7090646,8054.067338,2.417090646,80.54067338,241.7090646,6649.62338
-8918.533257,634.7074751,-89.18533257,6.347074751,-8918.533257,-54425333.58
-9262.856667,-5438.476165,-92.62856667,-54.38476165,-9262.856667,-42220481.46
-9998.390789,591.0089743,-99.98390789,5.910089743,-9998.390789,-148937251.9
-8792.378573,-1051.087389,-87.92378573,-10.51087389,-8792.378573,-38091167.61
-9827.311183,3816.321973,-98.27311183,38.16321973,-9827.311183,-224370738.6
-7627.314258,-654.4389833,-76.27314258,-6.544389833,-7627.314258,-30106089.28
-9942.843381,9959.779058,-99.42843381,99.59779058,-9942.843381,-209236070
-9122.643442,7640.155277,-91.22643442,76.40155277,-9122.643442,-49805021.27
-8581.604777,39846.0362,-85.81604777,398.460362,-8581.604777,-105112468.9
6001.666526,17610.24506,60.01666526,176.1024506,6001.666526,63666991.52
0,15242.87522,0,152.4287522,0,0
0,1815.813951,0,18.15813951,0,0
0,16727.56111,0,167.2756111,0,0
0,-1981.688233,0,-19.81688233,0,0
0,1239.107925,0,12.39107925,0,0
0,-1568.010752,0,-15.68010752,0,0
0,2133.271824,0,21.33271824,0,0
0,19611.093,0,196.11093,0,0
0,5250.518235,0,52.50518235,0,0
0,2992.608037,0,29.92608037,0,0
0,-1014.538681,0,-10.14538681,0,0
0,15852.39717,0,158.5239717,0,0
0,965.8055587,0,9.658055587,0,0
0,-3.835786701,0,-0.038357867,0,0
0,33871.87546,0,338.7187546,0,0
0,6138.274876,0,61.38274876,0,0
0,3137.496584,0,31.37496584,0,0
0,9754.623595,0,97.54623595,0,0
0,47.69905822,0,0.476990582,0,0
