#{"t_start": 1651788127.8903842, "env_id": null}
r,l,t
-6263.997882,19968,170.421451
-91.440723,10244,216.774359
0.0,18336,300.625048
0.0,14281,517.679795
-98.465717,15097,581.894647
0.0,11986,631.43974
0.0,9418,671.577267
0.0,3143,791.750937
0.0,21580,894.055861
0.0,8200,930.418751
0.0,6047,955.850686
0.0,6128,981.269892
0.0,28847,1273.407403
0.0,5660,1296.766149
0.0,604,1299.476974
0.0,19152,1386.744424
0.0,13577,1482.564447
0.0,3803,1498.670876
0.0,362,1500.092415
0.0,4629,1519.079302
0.0,17350,1594.747704
0.0,18176,1807.66656
0.0,8558,1843.65208
0.0,3986,1859.990165
0.0,13992,1919.9167
0.0,13261,1978.878066
0.0,25757,2227.743892
0.0,11090,2275.03774
0.0,2077,2283.269087
0.0,2233,2291.691657
0.0,28947,2521.139701
0.0,5977,2545.43789
0.0,7875,2578.773522
0.0,3993,2594.05413
0.0,2454,2603.386081
0.0,19793,2784.29988
0.0,17430,2859.594104
0.0,24869,2973.318355
0.0,20358,3203.453038
0.0,2824,3214.547948
0.0,17479,3291.093887
0.0,25954,3553.383846
0.0,6153,3579.699871
0.0,3808,3595.026312
0.0,24262,3704.79095
0.0,21843,3911.228188
0.0,5428,3932.519278
0.0,10066,3973.503876
0.0,3935,3988.682013
0.0,4292,4005.301227
0.0,8100,4067.374346
0.0,16043,4135.080447
0.0,26184,4257.986187
0.0,11968,4463.925973
0.0,4594,4483.392329
0.0,2512,4494.114964
0.0,19758,4582.024911
0.0,10764,4627.255031
0.0,25806,4794.345053
0.0,22757,4893.887576
0.0,27247,5173.567721
0.0,25183,5291.154476
0.0,1130,5295.76888
0.0,23551,5528.011227
0.0,19299,5613.636197
0.0,21220,5837.192501
0.0,19106,5926.39935
0.0,6939,5954.688552
0.0,28733,6216.265347
0.0,14488,6279.729392
0.0,10835,6326.705543
0.0,18087,6589.437902
0.0,22086,6696.56653
