trade_row_loc,trade_price,trade_amount,trade_total,trade_fee,trade_min_trade_penalty,trade_buy_penalty,trade_hold_penalty,trade_trend_reward,trade_reward ,overall_reward ,trade_profit,trade_type,net_worth,benchmark,Balance,crypto_holding,crypto_worth,total_fees,total_volume_traded,highest_net_worth
24,9174.078061023285,0.0,0.0,0.0,True,0,0,14.911938976714737,-1.0,0.0,0.0,sell,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0,10000
25,9170.698762832897,0.0,0.0,0.0,True,0,0,18.291237167102736,-1.0,0.0,0.0,sell,10000.0,-8.68430589216041,10000.0,0.0,0.0,0.0,0.0,10000
26,9184.12214804055,0.0,0.0,0.0,True,0,0,-3.112148040549073,-1.0,0.0,0.0,sell,10000.0,5.267172997249872,10000.0,0.0,0.0,0.0,0.0,10000
27,9190.240054214733,0.0,0.0,0.0,True,0,0,3.5899457852665364,-1.0,0.0,0.0,sell,10000.0,11.448483456832037,10000.0,0.0,0.0,0.0,0.0,10000
28,9174.147879997923,0.0,0.0,0.0,True,0,0,25.362120002077063,-1.0,0.0,0.0,sell,10000.0,-5.29982076376109,10000.0,0.0,0.0,0.0,0.0,10000
29,9219.040986758888,0.0,0.0,0.0,True,0,0,-34.92098675888701,-1.0,0.0,0.0,sell,10000.0,47.839860528742065,10000.0,0.0,0.0,0.0,0.0,10000
30,9192.650127824036,0.0,0.0,0.0,True,0,0,40.29987217596499,-1.0,0.0,0.0,sell,10000.0,17.60802873873945,10000.0,0.0,0.0,0.0,0.0,10000
31,9192.60188740466,0.0,0.0,0.0,True,0,0,12.568112595339699,-1.0,0.0,0.0,sell,10000.0,13.951478889408463,10000.0,0.0,0.0,0.0,0.0,10000
32,9200.77793710259,0.0,0.0,0.0,True,0,0,1.0320628974095598,-1.0,0.0,0.0,sell,10000.0,26.139978387178417,10000.0,0.0,0.0,0.0,0.0,10000
33,9206.415272838049,0.0,0.0,0.0,True,0,0,6.594727161951596,-1.0,0.0,0.0,sell,10000.0,32.887183466298666,10000.0,0.0,0.0,0.0,0.0,10000
34,9217.355450730758,0.0,0.0,0.0,True,0,0,1.8545492692410335,-1.0,0.0,0.0,sell,10000.0,42.75769154172485,10000.0,0.0,0.0,0.0,0.0,10000
35,9230.30282096036,0.0,0.0,0.0,True,0,0,-2.0228209603592404,-1.0,0.0,0.0,sell,10000.0,64.46845627212497,10000.0,0.0,0.0,0.0,0.0,10000
36,9234.971939482582,0.0,0.0,0.0,True,0,0,13.258060517417107,-1.0,0.0,0.0,sell,10000.0,65.74171916608793,10000.0,0.0,0.0,0.0,0.0,10000
37,9259.37725806503,0.0,0.0,0.0,True,0,0,-9.977258065029673,-1.0,0.0,0.0,sell,10000.0,86.98453257648544,10000.0,0.0,0.0,0.0,0.0,10000
38,9250.60463477144,0.0,0.0,0.0,True,0,0,18.31536522856004,-1.0,0.0,0.0,sell,10000.0,86.9954151653219,10000.0,0.0,0.0,0.0,0.0,10000
39,9231.68523411563,0.0,0.0,0.0,True,0,0,37.24476588437028,-1.0,0.0,0.0,sell,10000.0,56.99211774090509,10000.0,0.0,0.0,0.0,0.0,10000
40,9245.441418657658,0.0,0.0,0.0,True,0,0,-4.081418657657196,-1.0,0.0,0.0,sell,10000.0,72.17332916892883,10000.0,0.0,0.0,0.0,0.0,10000
41,9238.307365171186,0.0,0.0,0.0,True,0,0,17.002634828813825,-1.0,0.0,0.0,sell,10000.0,72.76098896614349,10000.0,0.0,0.0,0.0,0.0,10000
42,9247.644157234427,0.0,0.0,0.0,True,0,0,8.205842765573834,-1.0,0.0,0.0,sell,10000.0,78.40905257269878,10000.0,0.0,0.0,0.0,0.0,10000
43,9238.804286483457,0.0,0.0,0.0,True,0,0,22.23571351654391,-1.0,0.0,0.0,sell,10000.0,67.98353246656916,10000.0,0.0,0.0,0.0,0.0,10000
44,9226.016731515982,0.0,0.0,0.0,True,0,0,25.443268484017608,-1.0,0.0,0.0,sell,10000.0,57.05741327392934,10000.0,0.0,0.0,0.0,0.0,10000
45,9224.113642406259,0.0,0.0,0.0,True,0,0,17.306357593741268,-1.0,0.0,0.0,sell,10000.0,49.9075524078271,10000.0,0.0,0.0,0.0,0.0,10000
46,9229.178738045093,0.0,0.0,0.0,True,0,0,5.671261954907095,-1.0,0.0,0.0,sell,10000.0,61.91104789536075,10000.0,0.0,0.0,0.0,0.0,10000
47,9231.292270079035,0.0,0.0,0.0,True,0,0,14.587729920964193,-1.0,0.0,0.0,sell,10000.0,60.300424747441866,10000.0,0.0,0.0,0.0,0.0,10000
48,9221.973453685609,0.0,0.0,0.0,True,0,0,22.42654631439109,-1.0,0.0,0.0,sell,10000.0,49.82049169712809,10000.0,0.0,0.0,0.0,0.0,10000
49,9220.534888249977,0.0,0.0,0.0,True,0,0,14.235111750023862,-1.0,0.0,0.0,sell,10000.0,45.94629007105141,10000.0,0.0,0.0,0.0,0.0,10000
50,9203.793261006005,0.0,0.0,0.0,True,0,0,27.41673899399393,-1.0,0.0,0.0,sell,10000.0,34.748106157476286,10000.0,0.0,0.0,0.0,0.0,10000
51,9216.661729623656,0.0,0.0,0.0,True,0,0,4.258270376343717,-1.0,0.0,0.0,sell,10000.0,40.26557869798489,10000.0,0.0,0.0,0.0,0.0,10000
52,9230.72818019071,0.0,0.0,0.0,True,0,0,-4.738180190710409,-1.0,0.0,0.0,sell,10000.0,59.32099175208532,10000.0,0.0,0.0,0.0,0.0,10000
53,9207.84869806992,0.0,0.0,0.0,True,0,0,35.65130193008008,-1.0,0.0,0.0,sell,10000.0,32.95247899932474,10000.0,0.0,0.0,0.0,0.0,10000
54,9227.178365362002,0.0,0.0,0.0,True,0,0,-7.9083653620018595,-1.0,0.0,0.0,sell,10000.0,61.45397916419461,10000.0,0.0,0.0,0.0,0.0,10000
55,9215.908097157464,0.0,0.0,0.0,True,0,0,29.551902842535128,-1.0,0.0,0.0,sell,10000.0,43.70447677056836,10000.0,0.0,0.0,0.0,0.0,10000
56,9228.43956408557,0.0,0.0,0.0,True,0,0,0.7104359144304908,-1.0,0.0,0.0,sell,10000.0,58.2000851018438,10000.0,0.0,0.0,0.0,0.0,10000
57,9187.512317944242,0.0,0.0,0.0,True,0,0,54.95768205575769,-1.0,0.0,0.0,sell,10000.0,17.40125955083022,10000.0,0.0,0.0,0.0,0.0,10000
58,9193.131663502436,0.0,0.0,0.0,True,0,0,11.84833649756365,-1.0,0.0,0.0,sell,10000.0,24.355233817863336,10000.0,0.0,0.0,0.0,0.0,10000
59,9192.690191359205,0.0,0.0,0.0,True,0,0,18.679808640796182,-1.0,0.0,0.0,sell,10000.0,19.425421074567566,10000.0,0.0,0.0,0.0,0.0,10000
60,9176.324559627472,0.0,0.0,0.0,True,0,0,30.515440372528246,-1.0,0.0,0.0,sell,10000.0,-2.481230254903494,10000.0,0.0,0.0,0.0,0.0,10000
61,9172.763262381402,0.0,0.0,0.0,True,0,0,13.946737618596671,-1.0,0.0,0.0,sell,10000.0,-3.8415538595654652,10000.0,0.0,0.0,0.0,0.0,10000
62,9208.517931298775,0.0,0.0,0.0,True,0,0,-23.057931298775657,-1.0,0.0,0.0,sell,10000.0,33.1810133649069,10000.0,0.0,0.0,0.0,0.0,10000
63,9213.50551322543,0.0,0.0,0.0,True,0,0,5.974486774570323,-1.0,0.0,0.0,sell,10000.0,46.5665976347791,10000.0,0.0,0.0,0.0,0.0,10000
64,9194.761088690284,0.0,0.0,0.0,True,0,0,37.018911309716714,-1.0,0.0,0.0,sell,10000.0,18.859526455027662,10000.0,0.0,0.0,0.0,0.0,10000
65,9179.577408822479,0.0,0.0,0.0,True,0,0,26.742591177520808,-1.0,0.0,0.0,sell,10000.0,9.369908988908719,10000.0,0.0,0.0,0.0,0.0,10000
66,9199.514256876506,0.0,0.0,0.0,True,0,0,-1.914256876505533,-1.0,0.0,0.0,sell,10000.0,26.716755595554787,10000.0,0.0,0.0,0.0,0.0,10000
67,9206.163911521431,0.0,0.0,0.0,True,0,0,7.376088478569727,-1.0,0.0,0.0,sell,10000.0,35.4881221984142,10000.0,0.0,0.0,0.0,0.0,10000
68,9190.660225362835,0.0,0.0,0.0,True,0,0,30.9397746371651,-1.0,0.0,0.0,sell,10000.0,13.059106604750923,10000.0,0.0,0.0,0.0,0.0,10000
69,9187.620389712534,0.0,0.0,0.0,True,0,0,13.369610287465548,-1.0,0.0,0.0,sell,10000.0,15.888579702448624,10000.0,0.0,0.0,0.0,0.0,10000
70,9192.194128689269,0.0,0.0,0.0,True,0,0,11.395871310731309,-1.0,0.0,0.0,sell,10000.0,16.34564843361477,10000.0,0.0,0.0,0.0,0.0,10000
71,9183.286814837076,0.0,0.0,0.0,True,0,0,20.723185162923983,-1.0,0.0,0.0,sell,10000.0,10.91523660380517,10000.0,0.0,0.0,0.0,0.0,10000
72,9166.06055631166,0.0,0.0,0.0,True,0,0,32.95944368833989,-1.0,0.0,0.0,sell,10000.0,-12.928515538704232,10000.0,0.0,0.0,0.0,0.0,10000
73,9108.811622959207,0.0,0.0,0.0,True,0,0,68.29837704079364,-1.0,0.0,0.0,sell,10000.0,-71.0633051075256,10000.0,0.0,0.0,0.0,0.0,10000
74,9106.509778250844,0.0,0.0,0.0,True,0,0,17.18022174915677,-1.0,0.0,0.0,sell,10000.0,-71.80332114846169,10000.0,0.0,0.0,0.0,0.0,10000
75,9059.476137023841,0.0,0.0,0.0,True,0,0,63.53386297615907,-1.0,0.0,0.0,sell,10000.0,-129.51368975262812,10000.0,0.0,0.0,0.0,0.0,10000
76,9087.197421179344,0.0,0.0,0.0,True,0,0,-17.217421179344456,-1.0,0.0,0.0,sell,10000.0,-96.84415806307334,10000.0,0.0,0.0,0.0,0.0,10000
77,9064.480375048006,0.0,0.0,0.0,True,0,0,35.51962495199405,-1.0,0.0,0.0,sell,10000.0,-116.85723893485556,10000.0,0.0,0.0,0.0,0.0,10000
78,9062.129128899365,0.0,0.0,0.0,True,0,0,19.48087110063534,-1.0,0.0,0.0,sell,10000.0,-118.60933573766124,10000.0,0.0,0.0,0.0,0.0,10000
79,9069.269497891912,0.0,0.0,0.0,True,0,0,10.73050210808833,-1.0,0.0,0.0,sell,10000.0,-115.7145671069411,10000.0,0.0,0.0,0.0,0.0,10000
80,9095.971679828112,0.0,0.0,0.0,True,0,0,-13.311679828111664,-1.0,0.0,0.0,sell,10000.0,-85.26508354019461,10000.0,0.0,0.0,0.0,0.0,10000
81,9113.149444290195,0.0,0.0,0.0,True,0,0,-2.509444290195461,-1.0,0.0,0.0,sell,10000.0,-69.35473866007123,10000.0,0.0,0.0,0.0,0.0,10000
82,9104.035064328651,0.0,0.0,0.0,True,0,0,21.224935671349158,-1.0,0.0,0.0,sell,10000.0,-78.82259094851725,10000.0,0.0,0.0,0.0,0.0,10000
83,9114.841583643993,0.0,0.0,0.0,True,0,0,1.7184163560068555,-1.0,0.0,0.0,sell,10000.0,-69.40915160425902,10000.0,0.0,0.0,0.0,0.0,10000
84,9107.958441696643,0.0,0.0,0.0,True,0,0,17.251558303356433,-1.0,0.0,0.0,sell,10000.0,-69.43091678193196,10000.0,0.0,0.0,0.0,0.0,10000
85,9109.162605555885,0.0,0.0,0.0,True,0,0,16.027394444116,-1.0,0.0,0.0,sell,10000.0,-68.40795343122772,10000.0,0.0,0.0,0.0,0.0,10000
86,9101.229482828136,0.0,0.0,0.0,True,0,0,24.900517171863612,-1.0,0.0,0.0,sell,10000.0,-84.66654115414167,10000.0,0.0,0.0,0.0,0.0,10000
87,9115.94349302305,0.0,0.0,0.0,True,0,0,-4.753493023050396,-1.0,0.0,0.0,sell,10000.0,-68.42971860890066,10000.0,0.0,0.0,0.0,0.0,10000
88,9120.301672329524,0.0,0.0,0.0,True,0,0,5.808327670476501,-1.0,0.0,0.0,sell,10000.0,-55.34884682647498,10000.0,0.0,0.0,0.0,0.0,10000
89,9120.899481334862,0.0,0.0,0.0,True,0,0,17.230518665137424,-1.0,0.0,0.0,sell,10000.0,-60.14806850372224,10000.0,0.0,0.0,0.0,0.0,10000
90,9107.588199089829,0.0,0.0,0.0,True,0,0,26.13180091017057,-1.0,0.0,0.0,sell,10000.0,-77.83227536432241,10000.0,0.0,0.0,0.0,0.0,10000
91,9101.25957637171,0.0,0.0,0.0,True,0,0,16.21042362828848,-1.0,0.0,0.0,sell,10000.0,-77.20108521176007,10000.0,0.0,0.0,0.0,0.0,10000
92,9112.721288424213,0.0,0.0,0.0,True,0,0,5.328711575786656,-1.0,0.0,0.0,sell,10000.0,-70.8891836861294,10000.0,0.0,0.0,0.0,0.0,10000
93,9107.765609080714,0.0,0.0,0.0,True,0,0,16.084390919286307,-1.0,0.0,0.0,sell,10000.0,-75.28574957639648,10000.0,0.0,0.0,0.0,0.0,10000
94,9100.576459412907,0.0,0.0,0.0,True,0,0,19.233540587092648,-1.0,0.0,0.0,sell,10000.0,-79.4864288675908,10000.0,0.0,0.0,0.0,0.0,10000
95,9090.221234937078,0.0,0.0,0.0,True,0,0,25.72876506292232,-1.0,0.0,0.0,sell,10000.0,-94.24321933096144,10000.0,0.0,0.0,0.0,0.0,10000
96,9105.845390090122,0.0,0.0,0.0,True,0,0,-3.455390090122819,-1.0,0.0,0.0,sell,10000.0,-73.29423581917217,10000.0,0.0,0.0,0.0,0.0,10000
97,9100.571669395096,0.0,0.0,0.0,True,0,0,21.068330604903167,-1.0,0.0,0.0,sell,10000.0,-86.02686475880364,10000.0,0.0,0.0,0.0,0.0,10000
98,9099.379182731273,0.0,0.0,0.0,True,0,0,10.560817268727988,-1.0,0.0,0.0,sell,10000.0,-85.97245181461767,10000.0,0.0,0.0,0.0,0.0,10000
99,9110.377748903005,0.0,0.0,0.0,True,0,0,-0.38774890300555853,-1.0,0.0,0.0,sell,10000.0,-71.81420373729998,10000.0,0.0,0.0,0.0,0.0,10000
100,9100.093703636081,0.0,0.0,0.0,True,0,0,22.906296363918955,-1.0,0.0,0.0,sell,10000.0,-77.59285840990196,10000.0,0.0,0.0,0.0,0.0,10000
101,9128.381997352299,0.0,0.0,0.0,True,0,0,-10.69199735229813,-1.0,0.0,0.0,sell,10000.0,-54.48912230832866,10000.0,0.0,0.0,0.0,0.0,10000
102,9144.635155838745,0.0,0.0,0.0,True,0,0,-5.715155838744977,-1.0,0.0,0.0,sell,10000.0,-28.425322043009146,10000.0,0.0,0.0,0.0,0.0,10000
103,9152.345623716703,0.0,0.0,0.0,True,0,0,10.524376283297897,-1.0,0.0,0.0,sell,10000.0,-29.82917600302244,10000.0,0.0,0.0,0.0,0.0,10000
104,9142.082849080256,0.0,0.0,0.0,True,0,0,19.497150919743945,-1.0,0.0,0.0,sell,10000.0,-40.047926921239196,10000.0,0.0,0.0,0.0,0.0,10000
105,9132.711403472826,0.0,0.0,0.0,True,0,0,19.478596527174886,-1.0,0.0,0.0,sell,10000.0,-44.20507585708583,10000.0,0.0,0.0,0.0,0.0,10000
106,9134.41015133918,0.0,0.0,0.0,True,0,0,13.95984866082108,-1.0,0.0,0.0,sell,10000.0,-40.156752809612954,10000.0,0.0,0.0,0.0,0.0,10000
107,9138.211139608178,0.0,0.0,0.0,True,0,0,13.878860391821945,-1.0,0.0,0.0,sell,10000.0,-42.572687531490374,10000.0,0.0,0.0,0.0,0.0,10000
108,9151.730108114343,0.0,0.0,0.0,True,0,0,-1.860108114342438,-1.0,0.0,0.0,sell,10000.0,-29.655054581624427,10000.0,0.0,0.0,0.0,0.0,10000
109,9149.665722864354,0.0,0.0,0.0,True,0,0,12.074277135645389,-1.0,0.0,0.0,sell,10000.0,-26.379395341598865,10000.0,0.0,0.0,0.0,0.0,10000
110,9138.946178281058,0.0,0.0,0.0,True,0,0,25.803821718942345,-1.0,0.0,0.0,sell,10000.0,-36.50020296028197,10000.0,0.0,0.0,0.0,0.0,10000
