trade_row_loc,trade_price,trade_amount,trade_total,trade_fee,trade_min_trade_penalty,trade_buy_penalty,trade_hold_penalty,trade_trend_reward,trade_reward ,overall_reward ,trade_profit,trade_type,net_worth,benchmark,Balance,crypto_holding,crypto_worth,total_fees,total_volume_traded,highest_net_worth
24,6324.4382692325025,1.57958692530844,10000.0,10.0,0,0,0,0,-10.0,0,0,buy,9990.0,0.0,0.0,1.57958692530844,9990.0,10.0,9990.0,10000
25,6292.437655013726,0,0,0,True,0,0,0,-61.547751821817656,0,0,buy,9939.452248178182,-50.05257024144339,0.0,1.57958692530844,9939.452248178182,10.0,9990.0,10000
26,6289.205649696983,0,0,0,True,0,0,0,-66.65298516267285,0,0,buy,9934.347014837327,-61.07331965240337,0.0,1.57958692530844,9934.347014837327,10.0,9990.0,10000
27,6298.707179912915,0,0,0,True,0,0,0,-51.644492263163556,0,0,buy,9949.355507736836,-43.30711155025165,0.0,1.57958692530844,9949.355507736836,10.0,9990.0,10000
28,6213.3116772162475,0,0,0,True,0,0,0,-186.53411180296098,0,0,buy,9814.465888197039,-176.09447442426062,0.0,1.57958692530844,9814.465888197039,10.0,9990.0,10000
29,6262.937876202533,0,0,0,True,0,0,0,-108.14521673147101,0,0,buy,9892.854783268529,-102.49613640394273,0.0,1.57958692530844,9892.854783268529,10.0,9990.0,10000
30,6268.293529352174,0,0,0,True,0,0,0,-99.68549703980898,0,0,buy,9901.314502960191,-91.2378708418837,0.0,1.57958692530844,9901.314502960191,10.0,9990.0,10000
31,6250.605347538244,0,0,0,True,0,0,0,-127.6255177655712,0,0,buy,9873.374482234429,-112.99435028248627,0.0,1.57958692530844,9873.374482234429,10.0,9990.0,10000
32,6253.711445812109,0,0,0,True,0,0,0,-122.71916554345262,0,0,buy,9878.280834456547,-114.18193103797785,0.0,1.57958692530844,9878.280834456547,10.0,9990.0,10000
33,6277.789338279545,0,0,0,True,0,0,0,-84.6860414129078,0,0,buy,9916.313958587092,-74.99176610676113,0.0,1.57958692530844,9916.313958587092,10.0,9990.0,10000
34,6269.67297024814,0,0,0,True,0,0,0,-97.5065502363068,0,0,buy,9903.493449763693,-88.02348559701932,0.0,1.57958692530844,9903.493449763693,10.0,9990.0,10000
35,6327.886416024604,0,0,0,True,0,0,0,-5.553352410652224,0,0,buy,9995.446647589348,2.010970079298204,0.0,1.57958692530844,9995.446647589348,10.0,9990.0,10000
36,6310.948858941123,0,0,0,True,0,0,0,-32.307696126383235,0,0,buy,9968.692303873617,-24.25831623216982,0.0,1.57958692530844,9968.692303873617,10.0,9990.0,10000
37,6303.1749812130665,0,0,0,True,0,0,0,-44.587211744568776,0,0,buy,9956.412788255431,-32.38136859973201,0.0,1.57958692530844,9956.412788255431,10.0,9990.0,10000
38,6269.427286452078,0,0,0,True,0,0,0,-97.8946291483262,0,0,buy,9903.105370851674,-88.22933292797097,0.0,1.57958692530844,9903.105370851674,10.0,9990.0,10000
39,6275.457564396132,0,0,0,True,0,0,0,-88.36928095192343,0,0,buy,9912.630719048077,-76.90772972562081,0.0,1.57958692530844,9912.630719048077,10.0,9990.0,10000
40,6264.796023926106,0,0,0,True,0,0,0,-105.21011088202249,0,0,buy,9895.789889117978,-93.99305819462461,0.0,1.57958692530844,9895.789889117978,10.0,9990.0,10000
41,6271.846416823669,0,0,0,True,0,0,0,-94.07340244274383,0,0,buy,9906.926597557256,-86.12335638823424,0.0,1.57958692530844,9906.926597557256,10.0,9990.0,10000
42,6280.620709276943,0,0,0,True,0,0,0,-80.21364480472039,0,0,buy,9920.78635519528,-68.4204859263773,0.0,1.57958692530844,9920.78635519528,10.0,9990.0,10000
43,6288.478969890363,0,0,0,True,0,0,0,-67.80083908409506,0,0,buy,9933.199160915905,-58.36563552988264,0.0,1.57958692530844,9933.199160915905,10.0,9990.0,10000
44,6264.091342833944,0,0,0,True,0,0,0,-106.3232159217132,0,0,buy,9894.676784078287,-97.65080692153788,0.0,1.57958692530844,9894.676784078287,10.0,9990.0,10000
45,6252.77302674419,0,0,0,True,0,0,0,-124.20148003359645,0,0,buy,9876.798519966404,-111.5059157356045,0.0,1.57958692530844,9876.798519966404,10.0,9990.0,10000
46,6257.887723371523,0,0,0,True,0,0,0,-116.12237211414322,0,0,buy,9884.877627885857,-105.07714524587573,0.0,1.57958692530844,9884.877627885857,10.0,9990.0,10000
