trade_row_loc,original_price,moving_avg,trade_price,avg_buy_price,trade_slippage,trade_amount,trade_total,trade_fee,trade_profit,trade_type,trade_hold_penalty,trend_reward,extra_reward,overall_reward ,net_worth,benchmark,total_fees,Balance,crypto_holding,crypto_worth,total_volume_traded,highest_net_worth
24,8099.0,8989.07619,8099.0,0,0.0017767858540712555,0,0,0,0,hold,0,1,0,1,10000.0,0.0,0,10000,0,0.0,0,10000
25,8057.05,8980.445536,8057.05,0,0.0012876966854921358,0,0,0,0,hold,0,1,0,2,10000.0,-51.7965180886531,0,10000,0,0.0,0,10000
26,8137.78,8973.594167,8137.78,0,0.0011791664356964643,0,0,0,0,hold,0,1,0,3,10000.0,47.88245462402665,0,10000,0,0.0,0,10000
27,8126.0,8966.441369,8126.0,0,0.0017541435747787503,0,0,0,0,hold,0,1,0,4,10000.0,33.33744906778702,0,10000,0,0.0,0,10000
28,8203.03,8959.567381,8203.03,0,0.001003468459345655,0,0,0,0,hold,0,1,0,5,10000.0,128.44795653784604,0,10000,0,0.0,0,10000
29,8243.44,8953.086369,8243.44,0,0.00188030848016082,0,0,0,0,hold,0,1,0,6,10000.0,178.34300530929795,0,10000,0,0.0,0,10000
30,8289.0,8947.00625,8289.0,0,0.0013150377497982409,0,0,0,0,hold,0,1,0,7,10000.0,234.5968638103477,0,10000,0,0.0,0,10000
31,8324.86,8941.599226,8324.86,0,0.001970100479053859,0,0,0,0,hold,0,1,0,8,10000.0,278.87393505371074,0,10000,0,0.0,0,10000
32,8240.98,8935.464345,8240.98,0,0.0018266529590879256,0,0,0,0,hold,0,1,0,9,10000.0,175.3055932831212,0,10000,0,0.0,0,10000
33,8045.21,8927.608631,8045.21,0,0.0016891877030587536,0,0,0,0,hold,0,1,0,10,10000.0,-66.41560686504454,0,10000,0,0.0,0,10000
34,8005.72,8921.295298,8005.72,0,0.001575418712889329,0,0,0,0,hold,0,1,0,11,10000.0,-115.17471292752089,0,10000,0,0.0,0,10000
