#{"t_start": 1651764020.1414738, "env_id": null}
r,l,t
39699.0,19968,205.805971
10251,10251,389.986506
24529,24529,668.346874
12611,12611,900.253222
1279,1279,905.251104
13545,13545,1077.307943
3619,3619,1144.277556
1164,1164,1148.498678
6486,6486,1192.10797
18386,18386,1452.147614
1100,1100,1456.686733
4108,4108,1499.684998
45097,23214,1790.238724
168,168,1791.233205
21395,21395,2039.328338
19093,19093,2298.068664
6773,6773,2360.938429
10156,10156,2487.194872
18108,18108,2730.12289
28737,28737,3066.98299
28119,28119,3418.622253
13523,13523,3591.992241
5928,5928,3669.551727
10166,10166,3764.790849
9010,9010,3868.288142
21893,21893,4162.653143
5329,5329,4230.849968
1929,1929,4283.152326
13754,13754,4409.033551
13586,13586,4552.637217
17295,17295,4741.66972
4501,4501,4760.831475
11300,11300,4953.629093
7019,7019,5035.604201
14522,14522,5221.239619
7730,7730,5326.066025
17413,17413,5502.207261
19862,19862,5761.822099
13426,13426,5949.350341
21309,21309,6222.450807
6646,6646,6280.507591
1448,1448,6310.735385
549,549,6312.958239
16832,16832,6531.41224
540,540,6533.649407
2228,2228,6587.330381
19920,19920,6858.149436
28003,28003,7192.909928
11445,11445,7310.991323
28566,28566,7649.497638
10749,10749,7759.545133
11706,11706,7892.38458
1051,1051,7896.840128
19010,19010,8137.075254
26054,26054,8443.859063
18751,18751,8689.765607
29168.5,29171,9012.231484
2993,2993,9059.561751
2204,2204,9126.028387
13629,13629,9245.10809
11876,11876,9408.115139
15575,15575,9611.885286
5359,5359,9669.863961
12288,12288,9788.787096
8981,8981,9925.389402
21317,21317,10185.377742
18908,18908,10447.614953
21048,21048,10697.526407
28125,28125,11056.78396
25686,25686,11399.262006
124,124,11400.018753
27541,27541,11782.025689
22384,22384,12052.262582
8547,8547,12154.168885
