#{"t_start": 1652805642.3492665, "env_id": null}
r,l,t
-184.393761,19968,303.480128
-1.683224,10251,567.617579
-1.903394,24529,982.97284
-1.557617,12611,1339.896927
-0.418805,7805,1480.663794
-0.423337,13766,1696.145277
-1.471749,17794,1998.827549
-0.454776,11945,2154.575289
-1.52826,4573,2240.39472
-0.522042,4251,2336.568543
-0.418896,5824,2442.011017
-0.45112,3630,2544.0942
-1.54511,18006,2865.285706
-3.261761,29231,3539.991898
-0.289191,17600,3950.742505
0.177427,2491,3964.205945
-1.969861,22104,4377.94164
0.023518,16663,4689.112031
-0.717487,12040,4932.848526
-1.735491,20395,5308.060868
-0.123826,9324,5446.273892
1.274715,22205,5879.447899
-0.833925,11614,6090.05109
0.565763,4307,6174.203109
-1.552212,18269,6568.68362
-2.586947,27990,7048.980052
-0.832685,7640,7166.181754
-1.137195,12170,7408.669996
0.343573,4413,7492.259922
-2.04409,26284,8035.401264
-0.1911,17750,8397.060374
-0.810394,3155,8474.742997
-0.394703,599,8478.05064
-2.191073,25957,9036.766837
-0.220723,5722,9131.714452
