#{"t_start": 1653474245.4434779, "env_id": null}
r,l,t
-149.744464,19968,283.277295
-1.683224,10251,530.253526
-1.903394,24529,919.283895
-1.53877,12611,1260.891909
-0.418805,7805,1394.657899
-0.423337,13766,1604.629383
-0.468895,17794,1900.44454
-0.156413,11945,2047.199795
-1.52826,4573,2128.571692
-0.522042,4251,2221.222737
0.098697,5824,2318.77772
0.615679,3630,2415.814293
1.465444,18006,2710.703296
-4.260466,29231,3358.070597
2.081389,17600,3738.687125
0.177427,2491,3751.354332
-1.969861,22104,4145.630246
0.023518,16663,4436.041747
-0.717487,12040,4664.594543
-1.735491,20395,5026.865381
-0.123826,9324,5155.572416
1.178977,22205,5572.611633
-0.833925,11614,5769.499863
0.565763,4307,5844.553317
-1.552212,18269,6211.89003
-2.586947,27990,6660.446621
-0.832685,7640,6769.378919
-1.137195,12170,6986.133185
0.343573,4413,7063.576875
-2.04409,26284,7568.242015
-0.1911,17750,7896.391104
-0.810394,3155,7967.671454
-0.394703,599,7970.434739
-2.191073,25957,8476.624404
-0.220723,5722,8564.821182
