#{"t_start": 1652085507.842645, "env_id": null}
r,l,t
-28.715662,19968,284.599353
0.870898,10251,538.537871
0,24529,941.426657
0,12611,1288.070988
0,7805,1421.208051
0.549458,13766,1631.729621
0,17794,1928.671153
0,11945,2083.174667
0,4573,2167.71942
0,4251,2262.534231
0,5824,2365.420861
0,3630,2464.787055
0,18006,2771.722646
0,29231,3429.12955
0,17600,3819.958255
0,2491,3832.873583
0,22104,4237.883441
0,16663,4537.575708
0,12040,4774.497122
0,20395,5145.267799
0,9324,5280.680591
0,22205,5703.878155
0,11614,5909.19335
0,4307,5988.158414
0,18269,6366.53266
0,27990,6834.863957
0,7640,6945.607222
0,12170,7170.24194
0,4413,7247.658801
0,26284,7764.584798
0,17750,8109.042227
0,3155,8182.503288
0,599,8185.440686
0,25957,8706.13492
0,5722,8797.099207
0,27399,9370.285941
0,22125,9767.594057
0,19843,10122.627624
0,11027,10326.796191
0,935,10331.776733
0,10462,10550.99598
0,6109,10723.819208
0,16483,11020.298408
0,6120,11123.35676
0,26375,11581.666576
0,6516,11724.766203
0,23628,12111.563179
0,9681,12313.093058
0,15946,12672.739633
0,18911,12961.380251
0,26032,13436.361587
0,20891,13740.289076
0,12184,13922.786192
0,837,13927.253212
0,14283,14180.420038
0,24280,14614.084015
0,23183,15094.399231
0,5412,15175.111436
0,24735,15651.48277
0,25416,16134.773827
0,5541,16244.960434
0,10684,16437.123988
0,24832,16907.049948
0,1162,16913.720636
0,21939,17391.584153
0,16023,17629.493846
0,18801,17986.101913
0,4437,18078.339973
0,13272,18247.690364
