#{"t_start": 1652105616.1908786, "env_id": null}
r,l,t
-33.065724,19968,281.056555
-0.065971,10251,529.775448
-0.109288,24529,934.458244
-0.001441,12611,1250.047245
0.002723,1279,1256.658402
-0.007908,13545,1495.654724
0,3619,1589.69386
0,1164,1595.466519
0,6486,1652.877852
0,18386,2016.165471
0,1100,2022.114357
0,4108,2080.3487
-0.008226,23214,2506.983193
0,168,2508.613337
0,21395,2869.38294
0,19093,3230.170463
-0.000428,6773,3315.22245
0,10156,3486.647534
0,18108,3830.585663
0,28737,4330.257158
0,28119,4862.185889
0,13523,5102.100995
0,5928,5203.620255
0,10166,5333.935654
0,9010,5473.50831
0,21893,5901.523696
0,5329,5993.972446
0,1929,6067.145931
0,13754,6240.737763
0,13586,6437.818606
0,17295,6706.359459
0,4501,6731.154234
0,11300,6991.537748
0,7019,7102.819799
0,14522,7361.303542
0,7730,7505.948807
0,17413,7761.670331
0,19862,8143.888198
0,13426,8408.613178
0,21309,8807.238981
0,6646,8885.722389
0,1448,8925.68298
0,549,8928.739908
0,16832,9241.832105
0,540,9245.015962
0,2228,9318.250425
0,19920,9711.228615
0,28003,10221.170659
0,11445,10382.915229
0,28566,10894.637059
0,10749,11044.890841
0,11706,11223.146056
0,1051,11228.363608
0,19010,11574.296764
0,26054,12036.884881
0,18751,12383.771291
0,29171,12875.13212
0,2993,12941.297655
0,2204,13031.42084
-0.023473,13629,13192.08358
0,11876,13417.32039
0,15575,13704.383873
0,5359,13786.082168
0,12288,13944.817422
0,8981,14133.681281
0,21317,14519.347635
0,18908,14899.369034
0,21048,15268.442492
0,28125,15804.007237
0,25686,16311.561438
0,124,16312.853946
0,27541,16891.517756
0,22384,17289.457389
0,8547,17431.448546
