#{"t_start": 1652085667.1811419, "env_id": null}
r,l,t
-11.047246,19968,151.491401
-1.308427,10244,195.913893
1.360003,18336,279.648495
0.232712,14281,494.192281
-0.059583,15097,559.905651
-0.010558,11986,613.359215
5.9e-05,9418,653.883559
0.000862,3143,778.732102
-0.015652,21580,877.206266
0,8200,910.835062
0,6047,935.036331
0,6128,960.031708
0,28847,1257.906895
0,5660,1280.840428
0,604,1283.100934
0,19152,1370.80452
0,13577,1468.50138
0,3803,1483.726876
0,362,1485.039218
0,4629,1503.545058
0,17350,1580.857626
-0.011077,18176,1800.381983
0,8558,1836.542029
0,3986,1852.291976
0,13992,1912.260819
0,13261,1970.53252
0,25757,2231.134717
0.0017,11090,2278.198297
0,2077,2286.696504
0,2233,2296.099119
0.003356,28947,2535.777661
0.003547,5977,2560.928611
-0.002317,7875,2592.774364
0.002952,3993,2609.804538
-0.012101,2454,2619.580563
0.016096,19793,2807.546762
-0.027319,17430,2886.810591
-0.101775,24869,3004.79829
-0.06327,20358,3242.409324
0,2824,3254.265812
0.620391,17479,3331.781514
0,25954,3595.425095
0,6153,3620.351171
0,3808,3635.357943
0,24262,3745.726434
0,21843,3950.059327
0,5428,3971.964998
0,10066,4014.841508
0,3935,4029.819623
0,4292,4046.333944
0,8100,4107.303006
0,16043,4177.439753
0,26184,4296.257152
0,11968,4503.258684
0,4594,4521.462396
0,2512,4530.840316
0,19758,4619.176892
0,10764,4662.688694
0,25806,4829.445174
0,22757,4931.92982
0,27247,5208.939937
0,25183,5323.889478
0,1130,5328.265802
0,23551,5554.756063
0,19299,5638.866283
0,21220,5855.75836
0,19106,5939.960767
0,6939,5967.593656
0,28733,6233.867167
0,14488,6296.345033
0,10835,6342.115502
0,18087,6586.142663
0,22086,6685.494236
