#{"t_start": 1652894242.3247926, "env_id": null}
r,l,t
-37.237956,4321,22.815325
0.041651,4321,104.583765
-0.079592,4321,184.443377
-0.631766,4321,264.613434
-1.027446,4321,348.949327
-0.462303,4321,430.50902
1.100359,4321,514.645611
-1.013851,4321,537.275077
-2.363606,4321,622.837994
-0.580677,4321,706.35038
-0.454973,4321,788.814607
0.347347,4321,871.47102
-1.248782,4321,952.698402
-0.074811,4321,1034.591296
-0.796164,4321,1058.549269
-1.390141,4321,1139.185191
0.487856,4321,1220.733664
-0.063623,4321,1304.764253
0.432301,4321,1386.035017
0.388675,4321,1468.256511
-0.660112,4321,1550.504134
-0.53577,4321,1632.859705
0.941704,4321,1656.687868
-0.773362,4321,1741.181748
0.477271,4321,1825.991024
0.670401,4321,1909.659791
0.503059,4321,1992.27073
-0.563734,4321,2074.61065
-0.963908,4321,2154.137567
0.374699,4321,2176.400683
-0.125496,4321,2260.020354
1.034121,4321,2342.195839
0.094243,4321,2423.720484
-5.368739,4321,2505.567008
-0.525599,4321,2587.425416
-0.211403,4321,2669.740685
-1.58387,4321,2690.402702
0.675691,4321,2772.322493
-2.067114,4321,2854.704769
0.694278,4321,2938.535682
-1.406154,4321,3020.847219
-2.16412,4321,3104.898668
0.295987,4321,3186.920781
-0.645076,4321,3268.884835
0.299298,4321,3290.347516
-0.803275,4321,3371.033734
-0.760171,4321,3455.623891
-0.937523,4321,3538.023268
-1.293569,4321,3620.29999
-5.752212,4321,3700.584457
0.357273,4321,3780.985566
-3.774383,4321,3803.42291
-0.209461,4321,3882.983235
-0.607505,4321,3963.073072
-0.840858,4321,4042.657511
-0.444473,4321,4125.150713
0.456247,4321,4206.370975
0.168385,4321,4287.744101
-1.191429,4321,4309.164275
0.285104,4321,4389.801967
-0.031659,4321,4471.299028
-3.356574,4321,4551.420858
0.379083,4321,4630.876174
0.195832,4321,4712.420761
-0.276044,4321,4793.873642
-1.107657,4321,4874.221987
-3.28464,4321,4896.719345
-0.717967,4321,4979.367012
1.031491,4321,5059.641308
0.080772,4321,5141.210077
0.815923,4321,5226.159565
0.367171,4321,5309.767848
-0.037089,4321,5390.631982
-0.787774,4321,5412.267366
-0.287081,4321,5495.123741
1.29347,4321,5576.757692
-0.386794,4321,5658.446751
0.685116,4321,5738.577451
0.561154,4321,5821.242611
0.121832,4321,5901.353771
-4.061053,4321,5983.966415
1.01414,4321,6006.803463
-1.204803,4321,6089.690342
-0.019483,4321,6170.895776
0.368784,4321,6252.093196
0.358797,4321,6331.944976
0.027423,4321,6414.5348
-0.826323,4321,6496.03527
-0.080256,4321,6517.723433
-0.296534,4321,6598.454704
-0.444316,4321,6679.050818
-0.047791,4321,6759.642985
-0.135054,4321,6841.791991
-0.003674,4321,6924.610692
-1.187324,4321,7006.654858
-0.574848,4321,7029.35494
-0.449569,4321,7112.761827
0.509953,4321,7195.326275
-0.556598,4321,7276.316666
0.419751,4321,7361.881131
0.080201,4321,7442.42398
0.342276,4321,7525.57609
-0.621272,4321,7607.951049
0.526881,4321,7630.004406
-1.063637,4321,7713.660216
-0.919715,4321,7795.30412
-0.072936,4321,7876.763492
-0.695438,4321,7959.91851
-0.314189,4321,8042.480536
0.435103,4321,8122.498422
-0.594011,4321,8145.674896
-0.582314,4321,8228.472771
-0.38647,4321,8310.831661
0.129017,4321,8390.41592
-1.229656,4321,8470.803311
