Profit,Benchmark_Profit,Profit_Percent,Benchmark_Profit_Percent,Model_Reward,Overall_Reward
254.8696823,832.7780846,2.548696823,8.327780846,-0.002754597,-33.3747603
-1372.465078,-1584.095214,-13.72465078,-15.84095214,-0.001516452,-1.211019014
9489.250002,11688.62943,94.89250002,116.8862943,-0.075837584,0.743813513
1162.067583,3515.848549,11.62067583,35.15848549,0.009826722,-0.546613485
272.5680342,1125.097546,2.725680342,11.25097546,0.001541369,0.008847477
-228.4797042,-1022.825898,-2.284797042,-10.22825898,0.001367697,-1.117610169
967.8827058,1097.651598,9.678827058,10.97651598,0.002645286,0.094754905
-178.0114092,-1410.814957,-1.780114092,-14.10814957,0.005447824,-0.21393464
2340.600747,3017.938844,23.40600747,30.17938844,-0.009891884,0.106095048
-888.0656622,-1841.395553,-8.880656622,-18.41395553,9.27E-05,-0.280317238
1659.556418,2657.698291,16.59556418,26.57698291,-0.009971053,0.051953603
0,-2067.739316,0,-20.67739316,-0.001783274,0.216533413
0,3429.240592,0,34.29240592,0.003431081,-0.313392429
-444.8946235,8077.832387,-4.448946235,80.77832387,0.034474013,-0.835502376
295.9474209,2775.470024,2.959474209,27.75470024,-0.001719246,-0.103037731
-282.9025563,-281.1952141,-2.829025563,-2.811952141,-0.000311352,-0.001459156
702.2691743,1154.195152,7.022691743,11.54195152,-0.002218261,0.144911875
-1210.920952,-3160.116576,-12.10920952,-31.60116576,0.020397637,-0.341436802
473.6971212,471.4727253,4.736971212,4.714727253,-0.000680074,0.023480243
2744.62694,5998.170054,27.4462694,59.98170054,-0.002144191,0.457874927
-3543.534978,-4687.988366,-35.43534978,-46.87988366,-0.003884116,-0.586193194
-1242.662458,-2132.277186,-12.42662458,-21.32277186,0.001048143,-0.239786917
568.8834859,3093.790104,5.688834859,30.93790104,6.36E-05,0.436048667
494.7802189,537.7157,4.947802189,5.377157,0.004197926,0.103958854
-724.4844903,-1173.659373,-7.244844903,-11.73659373,0.000850731,-0.097794889
-650.0464453,-595.0870645,-6.500464453,-5.950870645,0.001624524,-0.171090973
130.5247865,136.2052886,1.305247865,1.362052886,-0.017737976,0.040155847
535.334313,2165.889949,5.35334313,21.65889949,-0.00518878,-0.009000791
251.1484813,-516.5899418,2.511484813,-5.165899418,-0.002013457,0.108433022
0,-1187.579711,0,-11.87579711,-0.019824478,-0.031496001
0,684.6372065,0,6.846372065,0.001585213,-0.082388877
-20.2169322,-295.9240707,-0.202169322,-2.959240707,-0.000120436,0.036625549
