#{"t_start": 1651308663.8412452, "env_id": null}
r,l,t
-9999.999303,19968,214.495317
-9999.993475,16974,480.589634
-9998.994912,11048,572.413506
-9999.996823,25397,983.755333
-9761.538745,16656,1242.191213
-6294.247922,3783,1255.660222
-4440.728281,7066,1399.975069
-4629.66078,6192,1465.067726
-1072.102119,2377,1474.080895
-7366.895253,13812,1650.183389
-7409.249367,21363,1951.925442
-3680.309072,3623,2028.223919
-5464.532294,25817,2437.619242
61.283314,4032,2502.6908
41.503875,11045,2642.035389
-1216.261624,18130,2896.68668
254.796718,1024,2900.763568
-2238.948445,2870,2971.087552
-3841.317902,26384,3354.621628
2832.598908,28283,3843.734292
-4857.913718,24504,4272.073432
-1484.201099,11488,4438.519669
622.330053,7774,4504.753042
-97.549382,26307,4967.953279
-5512.462171,24209,5380.137675
-3135.675048,27257,5822.473747
-2768.43269,16235,6041.539205
-2785.315829,3988,6094.56665
-1481.255393,26330,6496.410651
-3452.452874,26978,6973.440324
2287.812058,11575,7155.327984
-3306.854332,21205,7475.45153
-5992.250131,8910,7636.383561
-1950.645996,8498,7738.431316
-7334.28416,17462,7993.213211
-4383.768057,23904,8368.886694
-2829.970643,24401,8761.746766
29027.645816,27921,9187.015979
14472.513226,25941,9649.400923
-2910.800424,7392,9729.887135
-3546.348902,10513,9875.691334
-5309.778286,7418,9998.920098
-5524.715363,23263,10342.786409
-1605.293578,9773,10482.004104
2008.77542,7663,10630.520483
-3303.788844,22741,11031.630914
-3710.96076,24443,11485.26133
-455.525047,3396,11543.055341
-5521.37423,26210,11933.550509
-6531.166518,9074,12052.138553
4.045864,10524,12192.032918
9754.023629,22048,12585.539239
-1763.017881,3129,12597.823421
-4232.873948,15526,12792.024385
-8385.548772,10631,12913.121453
-2271.558333,2652,12979.339082
588.904036,350,12980.572312
-1437.871012,14004,13168.146574
8844.694546,3132,13179.913036
-5997.83719,24830,13580.347379
7417.75353,27570,14040.036184
336.739873,3032,14116.392125
4724.446819,14859,14270.023916
-7959.677756,13971,14457.877202
-6992.827827,17510,14685.118848
-4380.724804,20168,14945.938141
-1520.123227,2500,14955.252935
