#{"t_start": 1651762401.961897, "env_id": null}
r,l,t
2246.0,19968,231.403875
1659.5,16974,503.654648
8787.0,20086,793.480861
6447.5,6221,886.896594
12832.0,11409,1050.332988
41226.0,24964,1444.980193
20924.5,10918,1676.157786
38414.5,20044,1970.540047
55370.5,28951,2484.096666
29355.5,15341,2691.815304
24845.0,12946,2902.757274
33368.0,17386,3187.016866
2462.0,1285,3193.077767
43125.0,22531,3534.044698
48913.0,25530,3969.666959
9525.5,4997,4032.697675
29463.5,15391,4334.252675
10948.0,5719,4480.680013
23469.5,12267,4695.015769
16356.5,8547,4879.32306
15072.5,7892,4968.822209
12173.5,6340,5134.124825
37149.5,19439,5444.825411
37856.0,19814,5750.175867
16873.0,8815,5894.718503
46395.0,24219,6331.473976
11858.5,6205,6408.260812
1409.5,745,6411.286273
26302.0,13673,6628.79956
24611.0,12826,6838.546421
18436.5,9644,6980.723075
7438.5,3861,6996.693023
4368.5,2291,7067.169329
16798.5,8764,7212.514176
6534.0,3430,7226.36514
19312.5,10093,7373.387275
18361.5,9620,7507.610592
17544.0,9146,7671.298399
28780.5,15024,7908.558284
17250.0,8979,8087.988466
10945.5,5682,8141.388389
20671.0,10761,8288.408841
36475.0,19057,8629.11448
49272.5,25753,9045.5218
36289.5,18949,9390.872108
51173.5,26706,9841.4035
3474.5,1812,9899.46712
40106.0,20891,10225.370914
23587.5,12265,10376.878137
10478.0,5473,10471.640144
3670.5,1932,10527.240214
25148.5,13109,10661.097559
36726.0,19267,10996.865507
22676.0,11834,11239.125862
19065.0,9955,11403.477854
2221.5,1146,11408.583667
8772.0,4567,11484.98268
42249.5,21995,11814.605423
17380.0,9111,11966.872695
18054.0,9415,12122.527185
21510.5,11257,12270.009288
33019.5,17219,12553.910862
43249.5,22571,12934.846744
34114.5,17816,13236.599002
35151.0,18378,13474.039985
44697.0,23339,13867.493389
55290.0,28972,14375.946181
1909.0,997,14381.183378
24858.5,12964,14617.702845
55030.0,28804,15023.697462
51457.5,26927,15514.786391
14210.0,7448,15576.938073
8257.5,4324,15638.932967
22463.5,11692,15781.063323
25814.5,13480,15994.78741
