trade_row_loc,original_price,moving_avg,trade_price,avg_buy_price,trade_slippage,trade_amount,trade_total,trade_fee,trade_profit,trade_type,trade_hold_penalty,trend_reward,extra_reward,overall_reward ,net_worth,benchmark,total_fees,Balance,crypto_holding,crypto_worth,total_volume_traded,highest_net_worth
24,7866.42,8625.464583,7879.714745539523,7887.602347887411,0.0016900630197120333,1.2678123920228264,10000.0,10.0,0,buy,0,0,0,0,9973.144756856202,0.0,10.0,0.0,1.2678123920228264,9973.144756856202,9990.0,10000
25,7755.41,8621.294405,7755.41,7887.602347887411,0.001371662650883783,0,0,0,0,hold,0,2,0,2,9832.404903217748,-141.1188316921798,10.0,0.0,1.2678123920228264,9832.404903217748,9990.0,10000
26,7920.03,8617.985357,7920.03,7887.602347887411,0.0019137879951933228,0,0,0,0,hold,0,2,0,4,10041.112179192545,68.15044200538432,10.0,0.0,1.2678123920228264,10041.112179192545,9990.0,10000
27,7963.96,8614.854226,7963.96,7887.602347887411,0.0015701540858272024,0,0,0,0,hold,0,2,0,6,10096.807177574108,123.99541341550685,10.0,0.0,1.2678123920228264,10096.807177574108,9990.0,10041.112179192545
28,7917.09,8612.068333,7917.09,7887.602347887411,0.001099233785363699,0,0,0,0,hold,0,2,0,8,10037.384810759999,64.41303667996362,10.0,0.0,1.2678123920228264,10037.384810759999,9990.0,10096.807177574108
29,7930.0,8609.67994,7930.0,7887.602347887411,0.0010735212553262907,0,0,0,0,hold,0,2,0,10,10053.752268741013,80.82456822798667,10.0,0.0,1.2678123920228264,10053.752268741013,9990.0,10096.807177574108
30,7900.0,8606.484524,7900.0,7887.602347887411,0.0010356988331240665,0,0,0,0,hold,0,2,0,12,10015.717896980328,42.687779193076494,10.0,0.0,1.2678123920228264,10015.717896980328,9990.0,10096.807177574108
31,7982.45,8603.55869,7982.45,7887.602347887411,0.001686998244496371,0,0,0,0,hold,0,2,0,14,10120.24902870261,147.5003877240215,10.0,0.0,1.2678123920228264,10120.24902870261,9990.0,10096.807177574108
32,7934.22,8600.095714,7934.22,7887.602347887411,0.0017839078155946978,0,0,0,0,hold,0,2,0,16,10059.10243703535,86.18914321889861,10.0,0.0,1.2678123920228264,10059.10243703535,9990.0,10120.24902870261
33,7940.96,8596.535952,7940.96,7887.602347887411,0.0012421697470386048,0,0,0,0,hold,0,2,0,18,10067.647492557584,94.75720848874153,10.0,0.0,1.2678123920228264,10067.647492557584,9990.0,10120.24902870261
