Profit,Benchmark_Profit,Profit_Percent,Benchmark_Profit_Percent,Model_Reward,Overall_Reward
-9992.413782,6700.159785,-99.92413782,67.00159785,2,1672
-9991.265486,6526.493915,-99.91265486,65.26493915,2,1859.5
-9992.692125,2516.142489,-99.92692125,25.16142489,2,2706
-9989.753297,11246.37931,-99.89753297,112.4637931,-1,26470.5
-9944.345705,16929.5393,-99.44345705,169.295393,1.5,26598.5
-7361.370486,-4378.751363,-73.61370486,-43.78751363,2,6818.5
-5782.331176,-587.883327,-57.82331176,-5.87883327,2,13247.5
-7564.737961,-5622.506807,-75.64737961,-56.22506807,2,11851
-1593.361837,-32.56047636,-15.93361837,-0.325604764,2,4545
-7668.528302,-2646.303408,-76.68528302,-26.46303408,2,26053
-7648.778838,1535.983528,-76.48778838,15.35983528,2,40852.5
-5642.543473,-4271.83899,-56.42543473,-42.7183899,2,6969
-8793.003606,1697.690656,-87.93003606,16.97690656,2,49155.5
-864.538935,2025.140214,-8.64538935,20.25140214,2,7776.5
-5160.038336,3580.296752,-51.60038336,35.80296752,2,21166.5
-7939.439472,-192.650552,-79.39439472,-1.92650552,2,34762
1675.558435,2838.469197,16.75558435,28.38469197,2,1975
-5323.156679,-4573.258894,-53.23156679,-45.73258894,2,5502.5
-6757.992193,13343.05937,-67.57992193,133.4305937,2,50437.5
-7048.63402,25145.89988,-70.4863402,251.4589988,2,54088.5
-6511.550936,12198.18037,-65.11550936,121.9818037,2,46876.5
-5106.401627,2160.762984,-51.06401627,21.60762984,2,21986.5
-6053.514076,-716.7780725,-60.53514076,-7.167780725,2,14843
-8051.313268,11053.73686,-80.51313268,110.5373686,2,50355.5
-7227.443289,11069.43524,-72.27443289,110.6943524,2,46282
-7976.300331,16467.33861,-79.76300331,164.6733861,2,52216.5
-4526.820517,5021.780425,-45.26820517,50.21780425,2,31164
-4455.960648,-2201.11864,-44.55960648,-22.0111864,2,7670
-7280.211942,16051.72399,-72.80211942,160.5172399,2,50519
-7352.146791,18451.47103,-73.52146791,184.5147103,2,51588.5
-4067.029299,2042.667579,-40.67029299,20.42667579,2,22205
-8922.632715,-2802.648465,-89.22632715,-28.02648465,2,40606.5
-6441.599252,-2341.240976,-64.41599252,-23.41240976,2,17138
-3740.076713,3018.095055,-37.40076713,30.18095055,2,16332.5
-7822.156258,2771.544055,-78.22156258,27.71544055,2,33426
-7575.685213,12914.54861,-75.75685213,129.1454861,2,45727.5
-7327.669316,9798.554974,-73.27669316,97.98554974,2,46640
-6483.565551,23540.90266,-64.83565551,235.4090266,2,53503.5
-5793.584668,19241.62906,-57.93584668,192.4162906,2,49748.5
-5314.215604,-2322.878943,-53.14215604,-23.22878943,2,14214
-6201.73677,1000.860369,-62.0173677,10.00860369,2,20171
-8428.745573,-6942.140898,-84.28745573,-69.42140898,2,14200
-8173.146142,6896.595451,-81.73146142,68.96595451,2,44466
-1161.653875,6651.095319,-11.61653875,66.51095319,2,18778
-5134.207761,2528.064017,-51.34207761,25.28064017,2,14698.5
-8347.57764,-1908.153509,-83.4757764,-19.08153509,2,43708.5
-9301.609766,-3346.934007,-93.01609766,-33.46934007,2,46763
3006.675876,7515.126586,30.06675876,75.15126586,2,6525.5
-6486.76528,11923.62093,-64.8676528,119.2362093,2,50172
-2505.852083,4183.543838,-25.05852083,41.83543838,2,17378.5
-4146.223002,4515.563356,-41.46223002,45.15563356,2,20167
-6620.170732,6801.643192,-66.20170732,68.01643192,2,42258.5
-3634.384648,-2092.733509,-36.34384648,-20.92733509,2,6017
-6784.293887,3880.148076,-67.84293887,38.80148076,2,29655
-8523.016756,-7013.811728,-85.23016756,-70.13811728,2,20339
-4310.026224,-3272.475305,-43.10026224,-32.72475305,2,5089
-40.77440467,338.1404175,-0.407744047,3.381404175,2,679.5
-7048.520827,-514.9434492,-70.48520827,-5.149434492,2,26782.5
-1792.121905,493.1815735,-17.92121905,4.931815735,2,6013.5
-7493.149553,10145.09499,-74.93149553,101.4509499,2,47575
-5705.071713,33205.87488,-57.05071713,332.0587488,2,52737
16377.43417,23980.06887,163.7743417,239.8006887,2,5808.5
-657.8261623,19113.51046,-6.578261623,191.1351046,2,28459.5
-6189.981945,2087.962963,-61.89981945,20.87962963,2,26657
-7354.005716,2256.108282,-73.54005716,22.56108282,2,33362.5
-6109.4869,14349.48682,-61.094869,143.4948682,2,38596
-1448.95206,1081.140199,-14.4895206,10.81140199,2,4772.5
