#{"t_start": 1651855168.2971797, "env_id": null}
r,l,t
-11661.944328,19968,230.460978
-9924.755946,16974,503.027472
-9673.657971,20086,786.988045
-1359.062504,6221,875.606279
-2162.277724,11409,1036.202891
-2428.884519,24964,1422.24336
-314.488743,10918,1647.295094
-562.057165,20044,1933.019938
-767.477509,28951,2433.367604
-397.192259,15341,2636.402985
-321.820335,12946,2848.656147
-433.429638,17386,3119.616916
-30.778995,1285,3125.05365
-567.760377,22531,3454.073245
-633.032177,25530,3873.7453
-137.774502,4997,3929.363131
-379.764708,15391,4200.107095
-149.432186,5719,4325.148387
-317.039666,12267,4517.861917
-224.980122,8547,4680.073009
-204.09094,7892,4759.498461
-146.252011,6340,4910.756315
-526.918267,19439,5215.504865
-524.397031,19814,5513.687845
-210.380219,8815,5655.18344
-606.544659,24219,6078.539876
-155.340148,6205,6154.033669
-18.96576,745,6157.299698
-298.709632,13673,6370.94686
-304.548954,12826,6570.832614
-252.688429,9644,6709.012044
-80.65842,3861,6724.770275
-62.809485,2291,6792.090673
-221.799707,8764,6934.907973
-98.576555,3430,6949.4695
-269.108723,10093,7089.158298
-249.72101,9620,7222.741923
-220.776587,9146,7381.342258
-388.878129,15024,7612.244873
-214.640083,8979,7787.967675
-125.113188,5682,7840.696
-260.802601,10761,7980.980678
-507.481697,19057,8317.202569
-672.148765,25753,8724.91727
-487.794799,18949,9067.186986
-684.182969,26706,9500.328292
-45.274376,1812,9556.68932
-493.887041,20891,9875.971516
-281.784979,12265,10022.885536
-135.721529,5473,10112.907299
-60.760694,1932,10168.149642
-326.667591,13109,10297.777608
-529.343202,19267,10625.725179
-295.029954,11834,10857.093849
-250.5931,9955,11013.569486
-25.88577,1146,11018.537916
-100.596853,4567,11095.067192
-521.660881,21995,11415.885581
-250.981567,9111,11562.142913
-230.258255,9415,11711.26259
-299.217203,11257,11854.609182
-440.467495,17219,12133.327425
-573.070471,22571,12498.625388
-449.441739,17816,12797.909338
-491.535851,18378,13031.462243
-593.436951,23339,13412.062403
-741.33042,28972,13899.022843
-27.94979,997,13903.586322
-327.712943,12964,14126.192867
-788.349296,28804,14520.720047
-718.886406,26927,14991.95194
-205.450816,7448,15050.652699
-115.622904,4324,15109.025446
-272.042811,11692,15248.443094
-341.564962,13480,15455.487608
