#{"t_start": 1652866220.511389, "env_id": null}
r,l,t
-11661.944328,19968,237.156624
-9924.755946,16974,505.817357
-7605.599323,20086,797.84368
-189.381283,6221,889.701335
-322.578762,11409,1059.751538
-750.839445,24964,1465.147219
-322.682485,10918,1703.695258
-537.460007,20044,2002.125159
-764.508036,28951,2533.998047
-402.287442,15341,2747.467609
-313.307644,12946,2970.061788
-430.764755,17386,3255.626708
-38.953009,1285,3261.659443
-575.702595,22531,3610.184273
-663.445368,25530,4050.366105
-131.769603,4997,4109.028135
-394.378153,15391,4398.072365
-152.503117,5719,4534.011815
-318.153672,12267,4738.48804
-241.164373,8547,4904.14533
-212.193211,7892,4985.085732
-162.295966,6340,5142.6322
-502.77662,19439,5461.429938
-542.607304,19814,5773.478187
-243.736463,8815,5921.308248
-637.406238,24219,6369.381965
-158.841061,6205,6450.207967
-22.06703,745,6453.221478
-321.347046,13673,6674.758609
-296.89917,12826,6885.143318
-243.836263,9644,7034.695733
-94.07924,3861,7051.384441
-59.273173,2291,7125.388619
-215.222517,8764,7278.187761
-76.895171,3430,7292.772251
-275.497518,10093,7439.798877
-272.035651,9620,7578.098486
-234.718649,9146,7746.505024
-397.545653,15024,7989.74031
