trade_row_loc,original_price,trade_price,avg_buy_price,trade_slippage,trade_amount,trade_total,trade_fee,trade_profit,trade_type,trade_min_trade_penalty,trade_buy_penalty,trade_hold_penalty,trend_reward,profit_reward,overall_reward ,net_worth,benchmark,total_fees,Balance,crypto_holding,crypto_worth,total_volume_traded,highest_net_worth
50,13737.1,13737.1,0,0.0019091598521618395,0,0,0,0,hold,False,0,0,-0.0,0,0.0,10000.0,0.0,0,10000,0,0.0,0,10000
51,13780.16,13780.16,0,0.0012656664482331966,0,0,0,0,hold,False,0,0,-0.0031345771669420396,0,-0.0031345771669420396,10000.0,31.345771669419264,0,10000,0,0.0,0,10000
52,13971.95,13971.95,0,0.0015154790727702574,0,0,0,0,hold,False,0,0,-0.013917835496830289,0,-0.017052412663772328,10000.0,170.96039193133947,0,10000,0,0.0,0,10000
53,13940.99,13940.99,0,0.0019450009926901947,0,0,0,0,hold,False,0,0,0.0022158682216870903,0,-0.014836544442085238,10000.0,148.42288401482074,0,10000,0,0.0,0,10000
54,13820.5,13820.5,0,0.0012853040829546218,0,0,0,0,hold,False,0,0,0.008642858218820887,0,-0.006193686223264352,10000.0,60.71150388364367,0,10000,0,0.0,0,10000
55,13716.36,13737.619455550268,13751.370826376646,0.0015499342063249983,0.7272002279815549,10000.0,10.0,0,buy,False,0,0,0,0,-0.006193686223264352,9974.54011907708,-15.097800845884194,10.0,0.0,0.7272002279815549,9974.54011907708,9990.0,10000
56,13529.01,13529.01,13751.370826376646,0.001081553986225699,0,0,0,0,hold,False,0,0,-0.013658871595671062,0,-0.019852557818935412,9838.299156364737,-151.48029787946507,10.0,0.0,0.7272002279815549,9838.299156364737,9990.0,10000
57,13203.06,13203.06,13751.370826376646,0.001454470300538688,0,0,0,0,hold,False,0,0,-0.024092671969346054,0,-0.04394522978828147,9601.268242054148,-388.75745244629616,10.0,0.0,0.7272002279815549,9601.268242054148,9990.0,10000
58,13330.18,13330.18,13751.370826376646,0.0016733054298563822,0,0,0,0,hold,False,0,0,0.009628071068373609,0,-0.03431715871990786,9693.709935035164,-296.21972614307197,10.0,0.0,0.7272002279815549,9693.709935035164,9990.0,10000
59,13410.03,13410.03,13751.370826376646,0.0015121457904665918,0,0,0,0,hold,False,0,0,0.005990166674418485,0,-0.02832699204548938,9751.77687323949,-238.09246493073442,10.0,0.0,0.7272002279815549,9751.77687323949,9990.0,10000
60,13601.01,13601.01,13751.370826376646,0.0010016644338001189,0,0,0,0,hold,False,0,0,0.014241578877899593,0,-0.014085413167589786,9890.657572779408,-99.06748877128484,10.0,0.0,0.7272002279815549,9890.657572779408,9990.0,10000
61,13558.99,13558.99,13751.370826376646,0.0015685386504719343,0,0,0,0,hold,False,0,0,-0.003089476443293457,0,-0.017174889610883242,9860.100619199624,-129.65618653136517,10.0,0.0,0.7272002279815549,9860.100619199624,9990.0,10000
62,13780.41,13780.41,13751.370826376646,0.0014493174408591633,0,0,0,0,hold,False,0,0,0.016330124883933025,0,-0.0008447647269502166,10021.1172936793,31.527760589933678,10.0,0.0,0.7272002279815549,10021.1172936793,9990.0,10000
63,13570.35,13570.35,13751.370826376646,0.0019962307432192456,0,0,0,0,hold,False,0,0,-0.015243378099780816,0,-0.01608814282673103,9868.361613789493,-121.38660998318483,10.0,0.0,0.7272002279815549,9868.361613789493,9990.0,10021.1172936793
64,13499.99,13499.99,13751.370826376646,0.0011480307045125186,0,0,0,0,hold,False,0,0,-0.005184833110420809,0,-0.02127297593715184,9817.195805748712,-172.60557177279043,10.0,0.0,0.7272002279815549,9817.195805748712,9990.0,10021.1172936793
65,13616.99,13616.99,13751.370826376646,0.0015210842925312365,0,0,0,0,hold,False,0,0,0.0086666730864245,0,-0.012606302850727339,9902.278232422554,-87.43475697199574,10.0,0.0,0.7272002279815549,9902.278232422554,9990.0,10021.1172936793
66,13570.01,13570.01,13751.370826376646,0.0017938158069567296,0,0,0,0,hold,False,0,0,-0.0034501016744521995,0,-0.01605640452517954,9868.114365711981,-121.63411491508487,10.0,0.0,0.7272002279815549,9868.114365711981,9990.0,10021.1172936793
67,13220.56,13220.56,13751.370826376646,0.0019963451608569285,0,0,0,0,hold,False,0,0,-0.02575163909238107,0,-0.04180804361756061,9613.994246043825,-376.0182280102799,10.0,0.0,0.7272002279815549,9613.994246043825,9990.0,10021.1172936793
68,13172.42,13172.42,13751.370826376646,0.0010547087471055594,0,0,0,0,hold,False,0,0,-0.0036412980993240905,0,-0.0454493417168847,9578.986827068793,-411.0620145445555,10.0,0.0,0.7272002279815549,9578.986827068793,9990.0,10021.1172936793
69,13017.0,13017.0,13751.370826376646,0.0014735171473993925,0,0,0,0,hold,False,0,0,-0.011798894963871329,0,-0.05724823668075603,9465.965367635901,-524.2008866500219,10.0,0.0,0.7272002279815549,9465.965367635901,9990.0,10021.1172936793
70,13211.39,13187.698604384614,0,0.001793255336144432,0.7272002279815549,9580.507334228863,9.590097431660524,-419.49266577113667,sell,False,0,0,-1.0,0,-1.057248236680756,9580.507334228863,-382.6935816147525,19.590097431660524,9580.507334228863,0.0,0.0,19580.097431660524,10021.1172936793
71,13247.0,13247.0,0,0.001990740823166489,0,0,0,0,hold,False,0,0,-0.002695401467975783,0,-1.059943638148732,9580.507334228863,-356.7710797766631,19.590097431660524,9580.507334228863,0.0,0.0,19580.097431660524,10021.1172936793
72,13018.0,13018.0,0,0.0017661903392107987,0,0,0,0,hold,False,0,0,0.017286932890465765,0,-1.0426567052582663,9580.507334228863,-523.4729309679624,19.590097431660524,9580.507334228863,0.0,0.0,19580.097431660524,10021.1172936793
73,13022.0,13022.0,0,0.0011359024650468793,0,0,0,0,hold,False,0,0,-0.00030726686126901216,0,-1.0429639721195352,9580.507334228863,-520.5611082397318,19.590097431660524,9580.507334228863,0.0,0.0,19580.097431660524,10021.1172936793
74,13135.0,13135.0,0,0.0013795688732928645,0,0,0,0,hold,False,0,0,-0.008677622485025342,0,-1.0516415946045605,9580.507334228863,-438.3021161671677,19.590097431660524,9580.507334228863,0.0,0.0,19580.097431660524,10021.1172936793
75,13240.37,13240.37,0,0.0016918620445817822,0,0,0,0,hold,False,0,0,-0.008022078416444674,0,-1.0596636730210052,9580.507334228863,-361.5974259487084,19.590097431660524,9580.507334228863,0.0,0.0,19580.097431660524,10021.1172936793
76,13399.24,13399.24,0,0.0014141508439574795,0,0,0,0,hold,False,0,0,-0.011998909396036438,0,-1.0716625824170416,9580.507334228863,-245.94710674014277,19.590097431660524,9580.507334228863,0.0,0.0,19580.097431660524,10021.1172936793
77,13481.01,13481.01,0,0.0016476935665871763,0,0,0,0,hold,False,0,0,-0.006102584922726993,0,-1.0777651673397686,9580.507334228863,-186.4221706182525,19.590097431660524,9580.507334228863,0.0,0.0,19580.097431660524,10021.1172936793
78,13452.0,13452.0,0,0.0014180632511064286,0,0,0,0,hold,False,0,0,0.0021519159172792113,0,-1.0756132514224894,9580.507334228863,-207.54016495475844,19.590097431660524,9580.507334228863,0.0,0.0,19580.097431660524,10021.1172936793
79,13380.0,13380.0,0,0.001540584290222604,0,0,0,0,hold,False,0,0,0.0053523639607493305,0,-1.07026088746174,9580.507334228863,-259.9529740629405,19.590097431660524,9580.507334228863,0.0,0.0,19580.097431660524,10021.1172936793
80,13750.01,13750.01,0,0.001205987024194403,0,0,0,0,hold,False,0,0,-0.027653961136023933,0,-1.0979148485977641,9580.507334228863,9.39790785536934,19.590097431660524,9580.507334228863,0.0,0.0,19580.097431660524,10021.1172936793
81,13600.0,13600.0,0,0.0014983284276407173,0,0,0,0,hold,False,0,0,0.010909810247410745,0,-1.0870050383503533,9580.507334228863,-99.80272401016373,19.590097431660524,9580.507334228863,0.0,0.0,19580.097431660524,10021.1172936793
82,13522.0,13522.0,0,0.001580765305576476,0,0,0,0,hold,False,0,0,0.005735294117647059,0,-1.0812697442327064,9580.507334228863,-156.58326721069352,19.590097431660524,9580.507334228863,0.0,0.0,19580.097431660524,10021.1172936793
83,13353.78,13353.78,0,0.0016820037341811413,0,0,0,0,hold,False,0,0,0.012440467386481241,0,-1.068829276846225,9580.507334228863,-279.03997204650113,19.590097431660524,9580.507334228863,0.0,0.0,19580.097431660524,10021.1172936793
84,13127.31,13127.31,0,0.0013535588940426263,0,0,0,0,hold,False,0,0,0.01695924300085827,0,-1.0518700338453668,9580.507334228863,-443.9000953621962,19.590097431660524,9580.507334228863,0.0,0.0,19580.097431660524,10021.1172936793
85,13166.95,13184.508390838364,13197.706096935299,0.0013335199752686426,0.7259221613105628,9580.507334228863,9.580507334228864,0,buy,False,0,0,0,0,-1.0518700338453668,9558.180801868115,-415.04393212541254,29.170604765889387,0.0,0.7259221613105628,9558.180801868115,29151.02425855516,10021.1172936793
86,13255.98,13255.98,13197.706096935299,0.001783834913140291,0,0,0,0,hold,False,0,0,0.006761626648540304,0,-1.0451084071968264,9622.809651889593,-350.23403775178303,29.170604765889387,0.0,0.7259221613105628,9622.809651889593,29151.02425855516,10021.1172936793
87,13343.0,13343.0,13197.706096935299,0.0012874301151250933,0,0,0,0,hold,False,0,0,0.0065645844366090745,0,-1.0385438227602173,9685.979398366839,-286.88733429908825,29.170604765889387,0.0,0.7259221613105628,9685.979398366839,29151.02425855516,10021.1172936793
88,13326.09,13326.09,13197.706096935299,0.0010098006041138689,0,0,0,0,hold,False,0,0,-0.001267331184891018,0,-1.0398111539451083,9673.704054619076,-299.19706488269003,29.170604765889387,0.0,0.7259221613105628,9673.704054619076,29151.02425855516,10021.1172936793
89,13452.0,13452.0,13197.706096935299,0.001211697063017189,0,0,0,0,hold,False,0,0,0.00944838283397461,0,-1.0303627711111336,9765.10491394969,-207.54016495475844,29.170604765889387,0.0,0.7259221613105628,9765.10491394969,29151.02425855516,10021.1172936793
90,13560.0,13560.0,13197.706096935299,0.0011834106792981227,0,0,0,0,hold,False,0,0,0.0080285459411241,0,-1.0223342251700096,9843.504507371232,-128.92095129248628,29.170604765889387,0.0,0.7259221613105628,9843.504507371232,29151.02425855516,10021.1172936793
91,13490.0,13490.0,13197.706096935299,0.0013200000303434194,0,0,0,0,hold,False,0,0,-0.0051622418879056576,0,-1.0274964670579152,9792.689956079492,-179.8778490365512,29.170604765889387,0.0,0.7259221613105628,9792.689956079492,29151.02425855516,10021.1172936793
92,13489.04,13489.04,13197.706096935299,0.0017101824202252042,0,0,0,0,hold,False,0,0,-7.116382505555969e-05,0,-1.0275676308829707,9791.993070804634,-180.57668649132575,29.170604765889387,0.0,0.7259221613105628,9791.993070804634,29151.02425855516,10021.1172936793
93,13864.98,13864.98,13197.706096935299,0.0013161059493487439,0,0,0,0,hold,False,0,0,0.027870033745915172,0,-0.9996975971370555,10064.896248127727,93.09097262158502,29.170604765889387,0.0,0.7259221613105628,10064.896248127727,29151.02425855516,10021.1172936793
94,13664.4,13664.4,13197.706096935299,0.0015237503770640483,0,0,0,0,hold,False,0,0,-0.01446666349320373,0,-1.0141642606302592,9919.290781012054,-52.92237808562277,29.170604765889387,0.0,0.7259221613105628,9919.290781012054,29151.02425855516,10064.896248127727
95,13690.03,13690.03,13197.706096935299,0.0011321486799416112,0,0,0,0,hold,False,0,0,0.001875676941541468,0,-1.0122885836887177,9937.896166006443,-34.26487395447293,29.170604765889387,0.0,0.7259221613105628,9937.896166006443,29151.02425855516,10064.896248127727
96,13590.02,13590.02,13197.706096935299,0.0013625279102700448,0,0,0,0,hold,False,0,0,-0.007305316350658006,0,-1.0195939000393757,9865.296690653775,-107.06772171710145,29.170604765889387,0.0,0.7259221613105628,9865.296690653775,29151.02425855516,10064.896248127727
97,13780.0,13764.231693956597,0,0.0011442892629464478,0.7259221613105628,9981.769059236265,9.99176082005632,401.26172500740176,sell,False,0,0,-1.0,0,-2.019593900039376,9981.769059236265,31.229298760290476,39.16236558594571,9981.769059236265,0.0,0.0,39142.78507861148,10064.896248127727
98,14580.0,14580.0,0,0.0017382834187940539,0,0,0,0,hold,False,0,0,-0.05805515239477504,0,-2.077649052434151,9981.769059236265,613.5938444067524,39.16236558594571,9981.769059236265,0.0,0.0,39142.78507861148,10064.896248127727
99,14732.75,14732.75,0,0.0015516381717990773,0,0,0,0,hold,False,0,0,-0.010476680384087791,0,-2.0881257328182388,9981.769059236265,724.7890748411228,39.16236558594571,9981.769059236265,0.0,0.0,39142.78507861148,10064.896248127727
100,14751.0,14751.0,0,0.0014040321536554477,0,0,0,0,hold,False,0,0,-0.0012387368278155809,0,-2.0893644696460543,9981.769059236265,738.0742660386823,39.16236558594571,9981.769059236265,0.0,0.0,39142.78507861148,10064.896248127727
101,14692.4,14692.4,0,0.0016554500740593578,0,0,0,0,hold,False,0,0,0.003972612026303326,0,-2.0853918576197508,9981.769059236265,695.416063070079,39.16236558594571,9981.769059236265,0.0,0.0,39142.78507861148,10064.896248127727
