#{"t_start": 1653139132.5770805, "env_id": null}
r,l,t
-11661.944328,19968,233.286252
-9924.755946,16974,503.291826
-7612.599434,20086,791.139199
-190.566298,6221,881.620224
-317.664165,11409,1045.5977
-696.948099,24964,1444.414892
-330.57303,10918,1668.404843
-554.292769,20044,1955.003881
-799.268438,28951,2466.775976
-408.706149,15341,2671.084867
-324.121614,12946,2885.389782
-464.721427,17386,3163.879256
-40.892704,1285,3169.934328
-584.815228,22531,3498.858104
-698.910403,25530,3929.785727
-127.664222,4997,3985.811629
-390.36667,15391,4258.248677
-160.375085,5719,4385.75615
-321.923813,12267,4577.110336
-242.667219,8547,4740.741526
-208.766124,7892,4821.854481
-160.399473,6340,4972.686538
-490.867344,19439,5286.28262
-524.939058,19814,5588.194212
-241.151054,8815,5730.329808
-611.701802,24219,6159.24557
-154.08774,6205,6236.360446
-20.004539,745,6239.324284
-316.115182,13673,6453.401366
-294.528167,12826,6659.07584
-247.281624,9644,6799.969932
-91.787429,3861,6817.896405
-57.096413,2291,6885.522166
-208.733456,8764,7030.280849
-77.720448,3430,7045.460177
-255.107739,10093,7186.713876
-264.44877,9620,7320.551399
-237.230053,9146,7483.93722
-392.351315,15024,7716.163341
