#{"t_start": 1652084665.0038872, "env_id": null}
r,l,t
-1463.566406,19968,224.963777
-1502.075771,16974,502.615449
-1450.750493,11048,597.047574
-1443.475732,25397,1023.403207
-705.78056,16656,1303.672643
-74.755401,3783,1318.068705
-110.011039,7066,1467.362644
-51.315671,6192,1536.163989
-14.65116,2377,1545.100152
-180.821906,13812,1729.248946
-243.435364,21363,2051.503237
-45.230085,3623,2130.014753
-286.842799,25817,2564.662391
-24.688908,4032,2632.692191
-80.43985,11045,2776.031677
-137.665104,18130,3054.166772
-7.809404,1024,3058.649294
-21.936074,2870,3132.189076
-220.521201,26384,3535.928297
-215.065477,28283,4057.153835
-189.172377,24504,4512.42655
-79.564204,11488,4683.645838
-68.116209,7774,4749.581313
-205.833215,26307,5240.459933
-190.156478,24209,5677.261472
-210.62365,27257,6142.5599
-112.560718,16235,6378.128978
-29.488645,3988,6432.977383
-189.296654,26330,6858.190128
-203.830322,26978,7364.785759
-85.313012,11575,7552.04251
-163.638659,21205,7887.085783
-66.085843,8910,8054.627631
-61.653282,8498,8159.423554
-135.212767,17462,8430.144991
-193.270616,23904,8827.955366
-177.250294,24401,9242.63115
-208.435716,27921,9691.398361
-187.662808,25941,10177.160253
-48.661187,7392,10259.814397
-78.574144,10513,10410.462081
-57.271508,7418,10538.314853
-166.099934,23263,10901.009188
-56.86697,9773,11041.210832
-53.608929,7663,11193.589622
-145.702847,22741,11610.3226
-188.161447,24443,12091.78399
-27.050692,3396,12151.989307
-178.717568,26210,12564.208689
-62.100631,9074,12685.956737
-88.281811,10524,12832.981418
-158.363255,22048,13252.204211
-18.881298,3129,13264.147829
-129.753901,15526,13471.206329
-75.196618,10631,13596.763017
-16.353756,2652,13667.486472
-1.802512,350,13668.895671
-123.237312,14004,13864.942469
-19.828299,3132,13876.782651
-195.009018,24830,14303.065697
-214.842916,27570,14792.394915
-19.015232,3032,14871.075138
-111.162399,14859,15031.548669
-117.557463,13971,15227.385154
-123.450371,17510,15470.523657
-145.536187,20168,15747.478266
-20.468482,2500,15757.170407
