Profit,Benchmark_Profit,Profit_Percent,Benchmark_Profit_Percent,Model_Reward,Overall_Reward
-4633.359627,832.7780846,-46.33359627,8.327780846,-1,-356.0100596
-4013.454292,2409.839009,-40.13454292,24.09839009,-1,-365.0639332
-4989.01306,1915.335391,-49.8901306,19.15335391,-0.002991705,-356.1139318
-4978.877837,-2134.291764,-49.78877837,-21.34291764,0,-357.9554955
-5424.149237,-4889.196356,-54.24149237,-48.89196356,0,-349.0363333
-4265.891232,2857.09608,-42.65891232,28.5709608,0.010114534,-362.2006255
-3731.404617,-1398.934965,-37.31404617,-13.98934965,-1,-358.87995
-2859.565195,3545.247784,-28.59565195,35.45247784,-0.011071186,-375.92073
-4001.876988,3141.59183,-40.01876988,31.4159183,0.026527358,-378.0917376
-3131.667141,3102.150063,-31.31667141,31.02150063,-1,-359.9816861
-3289.666316,2821.005134,-32.89666316,28.21005134,2.02E-05,-371.9530708
-4657.300573,-391.5175538,-46.57300573,-3.915175538,-1,-356.0435649
-626.5675788,7334.793475,-6.265675788,73.34793475,0.006770273,-350.7828809
-4614.482797,3184.212059,-46.14482797,31.84212059,-1,-364.9009229
-5523.218042,371.7761282,-55.23218042,3.717761282,0.002210354,-359.062759
-5175.84776,-2126.51647,-51.7584776,-21.2651647,-0.001730489,-362.090043
-4339.4564,-1629.654379,-43.394564,-16.29654379,-0.005179831,-350.9340109
-4974.05783,1587.727863,-49.7405783,15.87727863,-1,-371.1084353
-4825.01609,652.9055727,-48.2501609,6.529055727,-1,-352.1119336
-4268.044849,1016.186059,-42.68044849,10.16186059,-1,-364.064755
-5592.48225,-2007.495713,-55.9248225,-20.07495713,-1,-367.142376
-4282.150529,-76.09406923,-42.82150529,-0.760940692,0,-349.1168278
-4960.692385,-1655.484854,-49.60692385,-16.55484854,0.00437976,-357.0369316
-4215.360999,499.0440689,-42.15360999,4.990440689,-1,-375.0220557
-5059.659785,-1743.460858,-50.59659785,-17.43460858,-0.006795586,-351.9685835
-3252.960799,2718.763418,-32.52960799,27.18763418,-1,-373.2384709
-4852.657937,-1582.02439,-48.52657937,-15.8202439,-1,-367.9860676
-3646.926484,-4544.659346,-36.46926484,-45.44659346,-1,-345.7735915
-3124.431333,2720.367913,-31.24431333,27.20367913,0,-373.7129494
-4098.763773,1184.223617,-40.98763773,11.84223617,0,-344.0917571
-4270.589861,-609.299788,-42.70589861,-6.09299788,-1,-372.9453226
-3912.940111,146.3243808,-39.12940111,1.463243808,-0.006165019,-355.9054215
-4259.615519,1535.537924,-42.59615519,15.35537924,-1,-361.0367309
-4681.630039,739.4416829,-46.81630039,7.394416829,0.002409519,-358.9861258
-4468.487002,-166.986084,-44.68487002,-1.66986084,0,-390.9933826
-3992.571119,1680.499719,-39.92571119,16.80499719,-1,-354.0072123
-3672.449736,4005.31911,-36.72449736,40.0531911,0.000569884,-347.9145082
-2111.563873,4676.285433,-21.11563873,46.76285433,-1,-381.9508957
-4301.280378,453.8149112,-43.01280378,4.538149112,-1,-356.8821152
-4347.451984,998.9571599,-43.47451984,9.989571599,-0.012532282,-371.0521967
-5091.386965,-1647.688618,-50.91386965,-16.47688618,0.00024959,-370.0645915
-4175.94456,-247.6448698,-41.7594456,-2.476448698,-0.000900278,-385.9691234
-3864.711635,-1050.500166,-38.64711635,-10.50500166,-1,-334.0167006
-3841.627583,2380.618039,-38.41627583,23.80618039,-1,-358.8465488
-5262.358311,-1933.547418,-52.62358311,-19.33547418,-0.002629596,-356.0558406
-4550.897395,23.37236498,-45.50897395,0.23372365,-1,-351.9403863
-5458.797581,-3764.959924,-54.58797581,-37.64959924,0.020668599,-352.646257
-3771.604161,1750.93929,-37.71604161,17.5093929,0,-370.0331585
-4046.816197,107.8723018,-40.46816197,1.078723018,0,-365.9170497
-4270.833652,-1423.31797,-42.70833652,-14.2331797,-1,-379.0406133
-5244.880375,-4165.257706,-52.44880375,-41.65257706,-1,-352.2037915
-4897.134656,-1879.053631,-48.97134656,-18.79053631,-0.003526064,-339.9700237
-2303.377717,3340.749512,-23.03377717,33.40749512,-0.001998752,-358.8900841
-4839.990225,-874.7636117,-48.39990225,-8.747636117,0.006101771,-359.1773042
-6029.013474,-2605.448617,-60.29013474,-26.05448617,-1,-360.1760885
-4047.639636,1916.824239,-40.47639636,19.16824239,0,-359.1450677
-4114.224332,1092.308293,-41.14224332,10.92308293,-1,-376.0603682
-3910.181279,-137.3322438,-39.10181279,-1.373322438,-0.001755783,-355.9166915
-4108.011654,2338.52886,-41.08011654,23.3852886,-1,-364.9227187
-5543.136398,-2003.937248,-55.43136398,-20.03937248,-0.000946661,-367.0472311
-2682.679607,-272.7973977,-26.82679607,-2.727973977,-1,-372.0392974
-4022.376612,3012.568636,-40.22376612,30.12568636,-1,-363.9221661
-4392.428572,-229.7568795,-43.92428572,-2.297568795,0,-358.874043
-4612.948268,216.9747326,-46.12948268,2.169747326,-0.001334234,-350.1030052
-4617.580848,707.1802381,-46.17580848,7.071802381,0.000482077,-357.9914388
-1316.449981,6350.860433,-13.16449981,63.50860433,-1,-373.8051085
-4977.997397,-1541.705229,-49.77997397,-15.41705229,-1,-350.9956034
-4164.357326,427.3779812,-41.64357326,4.273779812,-1,-347.0666072
-3344.024063,4185.650916,-33.44024063,41.85650916,-1,-384.143869
-1340.580872,3443.599659,-13.40580872,34.43599659,-0.001140251,-174.2052006
-54.4701694,742.9080675,-0.544701694,7.429080675,-0.001312356,-16.98607308
2081.823921,2578.779769,20.81823921,25.78779769,-0.002866178,-11.7843066
-2264.246976,-474.7821278,-22.64246976,-4.747821278,-0.013621985,-23.24516235
3243.600133,14805.5981,32.43600133,148.055981,-0.019861789,-13.21221327
-1869.934618,241.6760444,-18.69934618,2.416760444,0.000153666,-32.18581251
2086.38906,2849.967357,20.8638906,28.49967357,-0.00446454,-25.70525776
-1269.204966,16.14807873,-12.69204966,0.161480787,0.005362066,-18.08379962
-2772.797442,-2171.370348,-27.72797442,-21.71370348,0.00422688,-31.27349867
-769.9206954,207.8993536,-7.699206954,2.078993536,0.00304549,-26.95144976
-382.5755915,66.26773731,-3.825755915,0.662677373,0.001543351,-26.93093756
-3773.494569,-3752.104999,-37.73494569,-37.52104999,0.0125625,-15.27672768
-1148.103647,-344.4247374,-11.48103647,-3.444247374,-0.000551238,-29.01605506
-467.9756828,536.2763058,-4.679756828,5.362763058,-0.006566093,-29.03609456
1468.30685,1581.841927,14.6830685,15.81841927,0.002501922,-24.7334918
-189.0265057,334.3296801,-1.890265057,3.343296801,0.000619022,-17.9429341
-4603.110045,-4304.434585,-46.03110045,-43.04434585,0.01266795,-24.39668887
4304.975331,4224.611414,43.04975331,42.24611414,-0.005716262,-22.5529397
3821.233274,3466.378266,38.21233274,34.66378266,0.001845674,-24.57640657
3320.316933,4401.934109,33.20316933,44.01934109,-0.004431337,-25.65243832
-3241.420003,-2957.107139,-32.41420003,-29.57107139,0.002567981,-25.29677391
2370.335201,3968.566414,23.70335201,39.68566414,-0.00698257,-28.7972137
-333.6717202,-5.260818134,-3.336717202,-0.052608181,0.000129298,-19.96114628
-3407.32285,-3712.329593,-34.0732285,-37.12329593,-1,-25.22738387
-875.1109814,-88.76095629,-8.751109814,-0.887609563,-0.000805571,-13.07033299
-300.5348247,1174.180043,-3.005348247,11.74180043,0.003287949,-25.02144503
2574.602692,3347.057917,25.74602692,33.47057917,-0.002497481,-17.69038151
-2523.665185,-283.7684449,-25.23665185,-2.837684449,-0.027285992,-22.20656274
-15.61705023,1907.968458,-0.156170502,19.07968458,-0.004182446,-21.9094782
2257.707312,3850.310743,22.57707312,38.50310743,0.00171661,-29.76054765
-90.8822729,1309.655781,-0.908822729,13.09655781,-0.014467494,-20.96372456
-147.0168602,329.9485297,-1.470168602,3.299485297,-0.001367412,-22.96056286
-4354.378213,-4367.559667,-43.54378213,-43.67559667,0.0007099,-24.46503704
3515.470324,1904.017485,35.15470324,19.04017485,0,-17.54990557
-505.2915531,142.3904508,-5.052915531,1.423904508,-0.003038284,-21.89936524
8106.12075,11485.47921,81.0612075,114.8547921,0.022989182,-22.42805942
-789.9239484,-4905.108931,-7.899239484,-49.05108931,0.005415637,-17.59626672
-2256.06597,-1789.046126,-22.5606597,-17.89046126,-0.000517924,-17.19349856
7130.757288,3202.771112,71.30757288,32.02771112,0.015374139,-24.16112109
173.461245,782.3488154,1.73461245,7.823488154,0.006830066,-20.9472103
4040.086316,4458.838208,40.40086316,44.58838208,-0.006206814,-24.58593731
81.49245024,1017.161695,0.814924502,10.17161695,0.001847582,-23.95419733
-845.8409959,-122.2829074,-8.458409959,-1.222829074,0.002733939,-15.07418292
857.2586503,4252.623987,8.572586503,42.52623987,0.004992404,-25.0246483
-2536.443881,-2088.687388,-25.36443881,-20.88687388,0.000426576,-18.27153403
0.514561849,211.2336569,0.005145618,2.112336569,0.006369156,-18.89563266
-367.8507632,1019.281917,-3.678507632,10.19281917,0.000668533,-29.94697218
-776.540244,-101.8193758,-7.76540244,-1.018193758,0.007899816,-22.04948241
2490.595344,2744.589964,24.90595344,27.44589964,0.001791597,-21.72588785
262.3862892,857.2489059,2.623862892,8.572489059,0.000898839,-21.9024436
-898.1923451,-1044.186047,-8.981923451,-10.44186047,-0.015089514,-19.98286624
-2829.751855,-4059.405683,-28.29751855,-40.59405683,0.007512348,-15.9619955
1115.470279,2316.472875,11.15470279,23.16472875,0.012220775,-16.88193752
-2114.941009,-1729.610078,-21.14941009,-17.29610078,0,-17.14903965
-161.7805712,730.5305912,-1.617805712,7.305305912,-0.003056877,-24.96725669
-152.0978789,597.4742034,-1.520978789,5.974742034,-0.00089192,-23.86440829
2447.96217,5497.298363,24.4796217,54.97298363,-0.006040645,-31.82718492
-1599.169653,-1475.022994,-15.99169653,-14.75022994,0.027486143,-21.01374238
518.2422187,1991.755982,5.182422187,19.91755982,0.001027222,-15.98568218
2294.328188,3591.788025,22.94328188,35.91788025,-1,-19.7911925
-1087.620643,-2432.47246,-10.87620643,-24.3247246,0,-21.87583603
1196.604491,1256.344432,11.96604491,12.56344432,0.004758391,-26.79094431
-731.493424,-307.6293166,-7.31493424,-3.076293166,0.001284664,-25.98429974
-2571.762507,675.6377556,-25.71762507,6.756377556,-0.001243157,-26.53393979
-1441.43243,377.3071341,-14.4143243,3.773071341,-0.006002289,-24.20405021
1505.20355,2144.089635,15.0520355,21.44089635,-0.003563836,-16.81320256
-369.587959,468.0640009,-3.69587959,4.680640009,0.000100073,-17.03300799
2423.587435,2968.092781,24.23587435,29.68092781,0.000693348,-24.75660613
891.9107803,1732.030024,8.919107803,17.32030024,-0.007400661,-16.87922415
1991.495563,2474.019931,19.91495563,24.74019931,0.008642691,-19.72372376
1924.481029,2948.60702,19.24481029,29.4860702,-0.000877639,-18.77406727
2681.110109,4343.692893,26.81110109,43.43692893,0.006537791,-16.79357754
-1776.145206,-2078.287516,-17.76145206,-20.78287516,-0.000589219,-18.02260989
-4060.269138,-3922.951051,-40.60269138,-39.22951051,-0.005408597,-27.46872852
-826.8352928,-1487.253937,-8.268352928,-14.87253937,0.006585731,-25.89196674
-3237.068269,-4672.727589,-32.37068269,-46.72727589,0.01202554,-19.95879737
-2197.987513,-3568.450592,-21.97987513,-35.68450592,0.035011858,-17.9661834
2011.487082,2399.563244,20.11487082,23.99563244,0.002623697,-19.77487369
-557.0092142,-255.7557704,-5.570092142,-2.557557704,-0.002259551,-16.96931647
2692.088125,3593.977959,26.92088125,35.93977959,-0.001492982,-20.62779033
-1456.414922,-582.5841598,-14.56414922,-5.825841598,-0.000461098,-24.15201284
-1175.934412,-1349.966663,-11.75934412,-13.49966663,-0.00788135,-19.04303683
1542.270314,2465.093811,15.42270314,24.65093811,0.002286474,-23.82742786
4978.811602,5579.689089,49.78811602,55.79689089,0.013997324,-20.57325174
-307.7424463,367.6606563,-3.077424463,3.676606563,0.003124388,-18.04765611
519.9249416,759.4128657,5.199249416,7.594128657,0.002286876,-24.86646507
-1160.868274,-1249.661976,-11.60868274,-12.49661976,0,-15.94865062
366.41797,981.4854971,3.6641797,9.814854971,-0.014736156,-27.80324513
-149.77523,145.527204,-1.4977523,1.45527204,0.001604783,-16.94632486
498.257622,1460.989373,4.98257622,14.60989373,0.006106693,-14.88629068
2096.645364,1951.478701,20.96645364,19.51478701,-0.004461665,-17.73269658
1001.925408,-488.539401,10.01925408,-4.88539401,-0.009302892,-15.54731823
950.166375,731.7154916,9.50166375,7.317154916,-0.002196318,-23.76667198
6445.345828,5856.784516,64.45345828,58.56784516,0.034670313,-17.32521885
-2632.831061,-885.2020489,-26.32831061,-8.852020489,-0.001992625,-16.39796292
355.6456407,350.0803084,3.556456407,3.500803084,-0.000406748,-16.97515825
883.1349521,1686.182407,8.831349521,16.86182407,0.001871737,-13.92824968
1867.324297,3587.11112,18.67324297,35.8711112,-0.00344732,-14.79837444
2100.924836,4320.948014,21.00924836,43.20948014,0.001157482,-19.81890359
-2817.583965,-2803.731844,-28.17583965,-28.03731844,-0.03003204,-24.99546009
-1224.485231,-819.290214,-12.24485231,-8.19290214,-0.001882479,-20.05214012
739.2302934,1083.369689,7.392302934,10.83369689,-0.00656522,-19.82964189
688.9455309,1301.226621,6.889455309,13.01226621,0.001995292,-18.92550265
-213.9167638,870.8121898,-2.139167638,8.708121898,0.01985217,-18.05777336
-1119.3276,-1019.847552,-11.193276,-10.19847552,-0.000560106,-17.03533265
2524.864279,2884.243894,25.24864279,28.84243894,-0.001460424,-17.73922228
1233.613506,2468.312348,12.33613506,24.68312348,0.000535802,-23.87140585
-1522.512115,-1110.467555,-15.22512115,-11.10467555,-0.003206391,-21.07923343
1829.964833,3149.7036,18.29964833,31.497036,-0.003182162,-18.81570345
-1839.490765,-1229.475934,-18.39490765,-12.29475934,-0.018260003,-22.98835985
-1014.155707,-246.7099466,-10.14155707,-2.467099466,0.000150761,-26.02981529
744.7214727,2785.034712,7.447214727,27.85034712,0.001322225,-14.92000763
6521.836565,12356.54607,65.21836565,123.5654607,0.001234213,-22.57855161
-668.6388134,1965.779455,-6.686388134,19.65779455,-0.023317354,-20.12185214
495.040895,761.5779913,4.95040895,7.615779913,0.000886579,-23.81060285
1486.850132,2970.358436,14.86850132,29.70358436,-0.001172316,-14.85842811
792.7767205,4018.734162,7.927767205,40.18734162,-0.003868955,-30.1282595
-1551.114256,-2093.0701,-15.51114256,-20.930701,-0.005499343,-27.05782574
-1454.405341,-1390.368235,-14.54405341,-13.90368235,0.000741797,-19.05228999
1242.099257,2071.557409,12.42099257,20.71557409,0.002740272,-20.814266
-1374.011025,-749.3190701,-13.74011025,-7.493190701,0.002859706,-15.136691
-1444.387696,-849.07745,-14.44387696,-8.4907745,-0.002883847,-22.07988684
-1022.361636,-4818.685445,-10.22361636,-48.18685445,0.000889286,-13.33404135
323.9940375,-61.54238113,3.239940375,-0.615423811,0.00139401,-16.83240754
0.275477244,1935.672083,0.002754772,19.35672083,0.001225187,-24.96148827
-456.0148479,-2207.328031,-4.560148479,-22.07328031,-0.000379604,-23.73851785
-1242.469403,-2133.636733,-12.42469403,-21.33636733,-0.004019546,-13.91428737
282.881289,-238.9157887,2.82881289,-2.389157887,0.000896182,-16.86810367
-2945.019851,-2901.787487,-29.45019851,-29.01787487,0.011656919,-17.98687018
-1931.784265,-3128.728898,-19.31784265,-31.28728898,0.007679791,-18.91686186
