#{"t_start": 1650892886.992755, "env_id": null}
r,l,t
-9990.240512,19968,234.64565
-6569.631679,3549,297.240848
-8574.05456,5001,345.068743
-9984.206591,18578,599.802545
-9967.59949,26216,925.792472
-9181.398094,25981,1310.794309
357.27467,2157,1350.622405
-2884.732318,13048,1501.726132
-389.279017,5787,1600.082506
-2881.993985,10456,1724.715123
-105.739384,339,1728.715608
1083.382722,675,1730.268306
-4649.674571,16040,1901.412916
-3954.270655,12918,2090.177849
247.703889,27249,2418.427073
-4341.694774,9993,2532.668123
10141.386032,20041,2802.360773
-1365.487511,419,2803.854258
-2785.163558,4932,2879.043142
6765.879722,3074,2939.611819
1243.057198,3964,3006.870426
13578.460023,28142,3386.286789
-3048.09476,19962,3693.445485
-898.939076,1979,3747.936201
7639.284108,19934,4046.156407
962.93947,7105,4125.077676
8507.900668,27401,4549.096304
18048.832617,5292,4643.357907
1587.639893,22593,4938.901544
6694.596266,11509,5073.087888
-4380.265997,17779,5331.436454
-2903.613989,5952,5388.666152
11519.94516,14323,5595.126875
-1019.282612,5226,5653.045553
3605.60008,13323,5875.896647
-2661.989501,7183,5951.803231
-1344.578144,1577,5958.060051
6086.411111,9368,6079.268652
1053.412021,13613,6303.172005
2634.425906,4534,6388.104679
-249.393619,645,6389.81499
-597.743401,20364,6645.026017
6491.194229,22988,6948.856444
967.03836,1771,6955.897566
4810.55666,20814,7184.535291
-1008.239424,249,7185.450418
4212.590839,18828,7437.607445
2815.512714,11558,7544.063497
2613.361297,13764,7740.085811
20924.552032,28219,8177.510375
-5207.476513,8169,8246.150452
2492.599462,8390,8383.237467
1051.717506,26464,8704.01089
18670.871213,27685,9138.190654
4874.373567,4334,9200.733563
14994.993361,17054,9446.339761
646.152067,16109,9624.984994
10325.52232,12081,9785.403144
15050.855146,29081,10182.267146
1545.930824,11116,10325.275184
11209.105377,28216,10699.001419
-4521.634455,16578,10905.269439
10370.168656,13227,11042.042433
17878.453183,28309,11496.0231
9946.167965,8173,11635.838461
-2058.65741,2865,11646.242547
1393.571276,20855,11944.998272
10622.518321,12329,12113.729217
6141.950136,13207,12322.836008
8477.160851,18690,12534.341325
-884.521607,1081,12595.120177
-4898.758744,18568,12789.147771
10132.447937,18884,13036.433053
29169.824808,29401,13443.739711
-1477.601289,2863,13523.187557
