#{"t_start": 1651308365.1025543, "env_id": null}
r,l,t
-9990.974061,19968,147.077107
-6185.787173,3549,161.597395
-8275.37241,5001,179.254481
-9333.076856,10994,224.589767
-9880.880618,20729,352.696719
-9093.851397,17398,424.826796
-6197.619608,16917,496.504896
2005.479158,21427,612.599828
-3275.399115,10668,654.787466
-4451.52353,8923,691.233521
1029.635678,4369,706.779078
-1028.157663,18981,834.357558
2149.981711,22799,933.579139
438.099133,3533,947.418904
-3687.29882,27474,1120.534477
-154.510799,18499,1201.128475
446.920444,3205,1214.617221
-1843.625537,17801,1343.481259
1904.842044,4475,1360.739563
-1504.046692,28234,1490.182163
565.314795,22182,1635.249147
1356.799258,15399,1701.943384
-2346.750717,13975,1758.411957
-465.705527,7069,1785.091498
-2574.26432,12575,1876.161378
-82.092833,2080,1884.302652
-1373.093044,21842,1978.888507
-7.188229,9433,2016.426465
6732.883362,12268,2108.70191
-6506.4588,16792,2178.374947
-255.136659,8067,2210.255449
-2772.939418,14799,2270.560602
-5321.014538,26503,2431.072581
3519.573023,21968,2526.098109
0.0,279,2527.015033
3459.997419,8876,2560.701609
50.197919,6574,2624.474834
-115.153051,5180,2644.311015
-1678.336853,14321,2703.310544
-1202.748677,13452,2755.870101
-5594.63744,21998,2906.921605
-6398.853983,21851,3002.083795
-2895.511888,20020,3121.333839
-655.404205,2315,3129.481219
800.294473,23557,3230.353088
1685.907594,23915,3387.856872
-3401.922572,19055,3468.476086
5596.484702,8167,3500.898666
14353.333662,11998,3549.252403
-3589.583042,4670,3566.395363
-3757.478987,26834,3715.579686
-4888.431755,11527,3760.506286
1022.279257,25656,3930.335116
-1662.324031,22468,4029.266279
1580.865956,22346,4204.189124
6703.750853,26479,4323.324145
-3254.347074,15790,4390.158335
13914.09496,18094,4525.101707
2808.9916,8622,4559.420664
-5490.416842,6234,4583.752114
2448.497623,22645,4728.5335
7505.619584,2687,4740.958705
-2245.091706,13797,4795.28166
11357.071536,12978,4850.384515
5014.609755,3368,4862.239405
-3092.668137,23879,5027.39802
-5633.729544,5487,5050.287672
472.225314,17844,5124.825173
-1812.425038,11277,5171.240948
