trade_row_loc,trade_price,trade_amount,trade_total,trade_fee,trade_min_trade_penalty,trade_buy_penalty,trade_hold_penalty,trade_trend_reward,trade_reward ,overall_reward ,trade_profit,trade_type,net_worth,benchmark,Balance,crypto_holding,crypto_worth,total_fees,total_volume_traded,highest_net_worth
24,5066.43,0,0,0,0,0,0,0.0,0.0,0,0,hold,10000.0,0.0,10000,0,0.0,0,0,10000
25,5069.0,0,0,0,0,0,0,-2.569999999999709,0.0,0,0,hold,10000.0,5.072605365117852,10000,0,0.0,0,0,10000
26,5082.64,0,0,0,0,0,0,-13.640000000000327,0.0,0,0,hold,10000.0,31.9949155519771,10000,0,0.0,0,0,10000
27,5130.82,0,0,0,0,0,0,-48.17999999999938,0.0,0,0,hold,10000.0,127.09146282490656,10000,0,0.0,0,0,10000
28,5131.3,0,0,0,0,0,0,-0.48000000000047294,0.0,0,0,hold,10000.0,128.03887550010586,10000,0,0.0,0,0,10000
29,5135.0,0,0,0,0,0,0,-3.699999999999818,0.0,0,0,hold,10000.0,135.34184820475093,10000,0,0.0,0,0,10000
30,5154.52,0,0,0,0,0,0,-19.520000000000437,0.0,0,0,hold,10000.0,173.86996366277708,10000,0,0.0,0,0,10000
31,5146.07,0,0,0,0,0,0,8.450000000000728,0.0,0,0,hold,10000.0,157.1915530264887,10000,0,0.0,0,0,10000
32,5136.88,0,0,0,0,0,0,9.1899999999996,0.0,0,0,hold,10000.0,139.05254784927456,10000,0,0.0,0,0,10000
33,5160.0,0,0,0,0,0,0,-23.11999999999989,0.0,0,0,hold,10000.0,184.6862583712791,10000,0,0.0,0,0,10000
34,5145.19,0,0,0,0,0,0,14.8100000000004,0.0,0,0,hold,10000.0,155.45462978862633,10000,0,0.0,0,0,10000
35,5153.221596935584,0.19403396131744088,1000.9,1.0000000000000002,0,0,0,0,-1.0,0,0,buy,9999.0,154.4480038212314,8999.1,0.19403396131744088,999.9,1.0000000000000002,999.9,10000
36,5142.315273157752,0.3499318770657564,1801.259856,1.7998200000000002,0,0,0,0,-4.916017206021934,0,0,buy,9995.083982793978,139.26966325400645,7197.840144000001,0.5439658383831973,2797.243838793977,2.7998200000000004,2799.360036,10000
37,5135.57,0,0,0,0,0,0,-0.7724314905041798,-8.585215374401741,0,0,hold,9991.414784625598,136.46690075654806,7197.840144000001,0.5439658383831973,2793.5746406255967,2.7998200000000004,2799.360036,10000
38,5147.484680909436,0.13981819871514498,720.4318200129602,0.7197840144000003,0,0,0,0,-2.823819998833642,0,0,buy,9997.176180001166,144.7764994285917,6477.408323987041,0.6837840370983423,3519.7678560141267,3.5196040144000005,3519.07207199856,10000
39,5110.54,0,0,0,0,0,0,-19.99384524475538,-28.08600306039625,0,0,hold,9971.913996939604,87.0632772978206,6477.408323987041,0.6837840370983423,3494.5056729525627,3.5196040144000005,3519.07207199856,10000
40,5104.33,0,0,0,0,0,0,-4.2462988703807305,-32.33230193077725,0,0,hold,9967.667698069223,74.80612581245441,6477.408323987041,0.6837840370983423,3490.2593740821817,3.5196040144000005,3519.07207199856,10000
41,5123.27,0,0,0,0,0,0,12.950869662642953,-19.38143226813554,0,0,hold,9980.618567731864,112.18945095461822,6477.408323987041,0.6837840370983423,3503.2102437448248,3.5196040144000005,3519.07207199856,10000
42,5116.5,0,0,0,0,0,0,-4.629217931156076,-24.010650199290467,0,0,hold,9975.98934980071,98.82698468152012,6477.408323987041,0.6837840370983423,3498.5810258136685,3.5196040144000005,3519.07207199856,10000
43,5123.6,0,0,0,0,0,0,4.85486666339848,-19.155783535892624,0,0,hold,9980.844216464107,112.8407971688157,6477.408323987041,0.6837840370983423,3503.4358924770672,3.5196040144000005,3519.07207199856,10000
44,5134.94,0,0,0,0,0,0,7.75411098069468,-11.401672555197365,0,0,hold,9988.598327444803,135.22342162035056,6477.408323987041,0.6837840370983423,3511.1900034577616,3.5196040144000005,3519.07207199856,10000
45,5110.89,0,0,0,0,0,0,-16.445006092214637,-27.846678647412773,0,0,hold,9972.153321352587,87.75409904015214,6477.408323987041,0.6837840370983423,3494.744997365547,3.5196040144000005,3519.07207199856,10000
46,5047.25,0,0,0,0,0,0,-43.51601612093873,-71.3626947683515,0,0,hold,9928.637305231648,-37.857031479759826,6477.408323987041,0.6837840370983423,3451.2289812446083,3.5196040144000005,3519.07207199856,10000
47,5041.0,0,0,0,0,0,0,-4.273650231864639,-75.63634500021544,0,0,hold,9924.363654999785,-50.193134021392325,6477.408323987041,0.6837840370983423,3446.955331012744,3.5196040144000005,3519.07207199856,10000
48,5005.84,0,0,0,0,0,0,-24.04184674437762,-99.67819174459328,0,0,hold,9900.321808255407,-119.59111247959663,6477.408323987041,0.6837840370983423,3422.913484268366,3.5196040144000005,3519.07207199856,10000
49,5018.25,0,0,0,0,0,0,8.48575990039033,-91.19243184420338,0,0,hold,9908.807568155797,-95.09654727293128,6477.408323987041,0.6837840370983423,3431.3992441687565,3.5196040144000005,3519.07207199856,10000
50,5025.68,0,0,0,0,0,0,5.080515395640883,-86.11191644856262,0,0,hold,9913.888083551437,-80.43138857144004,6477.408323987041,0.6837840370983423,3436.479759564397,3.5196040144000005,3519.07207199856,10000
51,5040.86,0,0,0,0,0,0,10.379841683152414,-75.73207476541029,0,0,hold,9924.26792523459,-50.4694627183253,6477.408323987041,0.6837840370983423,3446.8596012475496,3.5196040144000005,3519.07207199856,10000
52,5024.95,0,0,0,0,0,0,-10.879004030234528,-86.61107879564406,0,0,hold,9913.388921204356,-81.87224534830239,6477.408323987041,0.6837840370983423,3435.9805972173153,3.5196040144000005,3519.07207199856,10000
53,5044.0,0,0,0,0,0,0,13.026085906723546,-73.58499288892017,0,0,hold,9926.41500711108,-44.27180480140851,6477.408323987041,0.6837840370983423,3449.006683124039,3.5196040144000005,3519.07207199856,10000
54,5040.06,0,0,0,0,0,0,-2.694109106167195,-76.27910199508733,0,0,hold,9923.720898004913,-52.04848384365323,6477.408323987041,0.6837840370983423,3446.3125740178716,3.5196040144000005,3519.07207199856,10000
55,5033.43,0,0,0,0,0,0,-4.533488165962084,-80.81259016104923,0,0,hold,9919.18740983895,-65.13462141981654,6477.408323987041,0.6837840370983423,3441.7790858519097,3.5196040144000005,3519.07207199856,10000
56,5044.49,0,0,0,0,0,0,7.562651450307318,-73.24993871074184,0,0,hold,9926.750061289258,-43.30465436214581,6477.408323987041,0.6837840370983423,3449.3417373022166,3.5196040144000005,3519.07207199856,10000
57,5050.0,0,0,0,0,0,0,3.7676500444120156,-69.48228866633144,0,0,hold,9930.517711333669,-32.42914636144269,6477.408323987041,0.6837840370983423,3453.109387346629,3.5196040144000005,3519.07207199856,10000
58,5069.92,0,0,0,0,0,0,13.620978018999029,-55.861310647331265,0,0,hold,9944.138689352669,6.888479659246514,6477.408323987041,0.6837840370983423,3466.7303653656277,3.5196040144000005,3519.07207199856,10000
59,5056.94,0,0,0,0,0,0,-8.875516801536808,-64.73682744886901,0,0,hold,9935.263172551131,-18.73113809921415,6477.408323987041,0.6837840370983423,3457.854848564091,3.5196040144000005,3519.07207199856,10000
60,5076.041155719637,0.127594721643592,648.3237991478628,0.6477408323987042,0,0,0,0,-52.32350291005059,0,0,buy,9947.67649708995,-0.8487238548641471,5829.084524839178,0.8113787587419343,4118.591972250772,4.167344846798705,4166.748130314025,10000
61,5067.54,0,0,0,0,0,0,1.2495232884625493,-59.22116008571902,0,0,hold,9940.778839914281,2.1908918113931577,5829.084524839178,0.8113787587419343,4111.694315075102,4.167344846798705,4166.748130314025,10000
62,5071.0,0,0,0,0,0,0,2.807370505247122,-56.41378958047426,0,0,hold,9943.586210419526,9.020158178440397,5829.084524839178,0.8113787587419343,4114.501685580349,4.167344846798705,4166.748130314025,10000
63,5054.6546062805555,0.11530959225472323,583.4330700911534,0.5829084524839179,0,0,0,0,-70.25900330018703,0,0,buy,9929.740996699813,-40.34398975215299,5245.651454748025,0.9266883509966576,4684.089541951787,4.7502532992826225,4749.598291952694,10000
64,5062.844130040166,0.41427727652555846,2099.5195382483494,2.0982605818992104,0,0,0,0,-64.76812761384463,0,0,buy,9935.231872386155,-23.389250418935262,3146.1319164996753,1.3409656275222162,6789.0999558864805,6.848513881181833,6847.019569619144,10000
65,5027.95,0,0,0,0,0,0,-35.70991466091676,-111.55995659999826,0,0,hold,9888.440043400002,-75.95091612832039,3146.1319164996753,1.3409656275222162,6742.308126900327,6.848513881181833,6847.019569619144,10000
66,5028.39,0,0,0,0,0,0,0.5900248761104581,-110.9699317238883,0,0,hold,9889.030068276112,-75.08245450938739,3146.1319164996753,1.3409656275222162,6742.898151776437,6.848513881181833,6847.019569619144,10000
67,5045.62,0,0,0,0,0,0,23.1048377622072,-87.86509396168003,0,0,hold,9912.13490603832,-41.07428702261859,3146.1319164996753,1.3409656275222162,6766.002989538644,6.848513881181833,6847.019569619144,10000
68,5069.12,0,0,0,0,0,0,31.51269224677208,-56.35240171490841,0,0,hold,9943.647598285092,5.309458533918587,3146.1319164996753,1.3409656275222162,6797.515681785416,6.848513881181833,6847.019569619144,10000
69,5067.45,0,0,0,0,0,0,-2.2394125979621986,-58.591814312871065,0,0,hold,9941.408185687129,2.013251934793516,3146.1319164996753,1.3409656275222162,6795.276269187454,6.848513881181833,6847.019569619144,10000
70,5176.93,0,0,0,0,0,0,146.80891690113285,88.2171025882617,0,0,hold,10088.217102588262,218.10229293605153,3146.1319164996753,1.3409656275222162,6942.085186088587,6.848513881181833,6847.019569619144,10000
71,5151.46,0,0,0,0,0,0,-34.154394532991184,54.06270805527129,0,0,hold,10054.062708055271,167.8302078583929,3146.1319164996753,1.3409656275222162,6907.9307915555955,6.848513881181833,6847.019569619144,10088.217102588262
72,5158.14,0,0,0,0,0,0,8.957650391848794,63.02035844712009,0,0,hold,10063.02035844712,181.01503425488954,3146.1319164996753,1.3409656275222162,6916.888441947444,6.848513881181833,6847.019569619144,10088.217102588262
73,5155.25,0,0,0,0,0,0,-3.8753906635396436,59.144967783580796,0,0,hold,10059.14496778358,175.31082043963943,3146.1319164996753,1.3409656275222162,6913.013051283905,6.848513881181833,6847.019569619144,10088.217102588262
74,5176.09,0,0,0,0,0,0,27.94572367756318,87.09069146114416,0,0,hold,10087.090691461144,216.44432075445548,3146.1319164996753,1.3409656275222162,6940.958774961468,6.848513881181833,6847.019569619144,10088.217102588262
75,5164.0,0,0,0,0,0,0,-16.212274436743787,70.87841702439982,0,0,hold,10070.8784170244,192.58136399792238,3146.1319164996753,1.3409656275222162,6924.746500524724,6.848513881181833,6847.019569619144,10088.217102588262
76,5173.72,0,0,0,0,0,0,13.034185899516283,83.91260292391598,0,0,hold,10083.912602923916,211.76647067066915,3146.1319164996753,1.3409656275222162,6937.78068642424,6.848513881181833,6847.019569619144,10088.217102588262
77,5182.085730384889,0.13409656275222162,694.2049844476176,0.6948998843319495,0,0,0,10.096341205728422,94.43585993483794,8.818176097585024,8.818176097585024,sell,10094.435859934838,247.39313481090358,3840.3369009472926,1.2068690647699944,6254.098958987544,7.543413765513782,7541.919453951094,10088.217102588262
78,5186.77,0,0,0,0,0,0,-6.034345323849973,100.08916002435762,8.818176097585024,0,hold,10100.089160024358,237.5242527775972,3840.3369009472926,1.2068690647699944,6259.752259077065,7.543413765513782,7541.919453951094,10094.435859934838
79,5189.96,0,0,0,0,0,0,3.849912316615799,103.93907234097423,8.818176097585024,0,hold,10103.939072340974,243.82059951484553,3840.3369009472926,1.2068690647699944,6263.602171393681,7.543413765513782,7541.919453951094,10100.089160024358
80,5200.55,0,0,0,0,0,0,12.780743395914417,116.71981573688754,8.818176097585024,0,hold,10116.719815736888,264.7228916613876,3840.3369009472926,1.2068690647699944,6276.382914789595,7.543413765513782,7541.919453951094,10103.939072340974
81,5202.73,0,0,0,0,0,0,2.6309745611978417,119.35079029808549,8.818176097585024,0,hold,10119.350790298085,269.02572422790763,3840.3369009472926,1.2068690647699944,6279.013889350793,7.543413765513782,7541.919453951094,10116.719815736888
82,5201.321199438766,0.29521735874347693,1537.0564412351448,1.5361347603789173,0,0,0,0,116.11441772192302,8.818176097585024,0,buy,10116.114417721923,246.05096685437275,2303.2804597121476,1.5020864235134714,7812.833958009775,9.0795485258927,9077.43976042586,10119.350790298085
83,5181.1,0,0,0,0,0,0,-15.005843370899251,85.74042857779568,8.818176097585024,0,hold,10085.740428577796,226.33294055182887,2303.2804597121476,1.5020864235134714,7782.459968865647,9.0795485258927,9077.43976042586,10119.350790298085
84,5186.03,0,0,0,0,0,0,7.4052860679204855,93.14571464571418,8.818176097585024,0,hold,10093.145714645714,236.06365823666602,2303.2804597121476,1.5020864235134714,7789.8652549335675,9.0795485258927,9077.43976042586,10119.350790298085
85,5169.67,0,0,0,0,0,0,-24.5741338886799,68.57158075703592,8.818176097585024,0,hold,10068.571580757036,203.77267622369254,2303.2804597121476,1.5020864235134714,7765.291121044888,9.0795485258927,9077.43976042586,10119.350790298085
86,5181.21,0,0,0,0,0,0,17.334077327345405,85.90565808438078,8.818176097585024,0,hold,10085.90565808438,226.55005595656075,2303.2804597121476,1.5020864235134714,7782.625198372233,9.0795485258927,9077.43976042586,10119.350790298085
87,5202.591109426726,0.26547139027690764,1382.5210631376196,1.3819682758272889,0,0,0,0,116.63996399809366,8.818176097585024,0,buy,10116.639963998094,253.78817036848523,920.759396574528,1.7675578137903791,9195.880567423566,10.461516801719988,10458.578855287651,10119.350790298085
88,5217.56,0,0,0,0,0,0,39.85842870097337,143.09834349465928,8.818176097585024,0,hold,10143.09834349466,298.29682833869265,920.759396574528,1.7675578137903791,9222.338946920132,10.461516801719988,10458.578855287651,10119.350790298085
89,5170.468837188035,0.017806263795907076,92.1588080031445,0.09207593965745281,0,0,0,0,59.76991476623698,8.818176097585024,0,buy,10059.769914766237,191.45631144612707,828.6005885713835,1.7853640775862862,9231.169326194853,10.553592741377441,10550.645587351139,10143.09834349466
90,5190.847238492146,0.015961127161838746,82.93463291010977,0.08286005885713836,0,0,0,0,96.06992035437725,8.818176097585024,0,buy,10096.069920354377,234.03066853780547,745.6659556612738,1.801325204748125,9350.403964693103,10.63645280023458,10633.497360202391,10143.09834349466
91,5187.29,0,0,0,0,0,0,4.125034718873141,89.66217699917433,8.818176097585024,0,hold,10089.662176999174,238.550616509061,745.6659556612738,1.801325204748125,9343.9962213379,10.63645280023458,10633.497360202391,10143.09834349466
92,5182.91,0,0,0,0,0,0,-7.8898043967969835,81.7723726023778,8.818176097585024,0,hold,10081.772372602378,229.9054758478851,745.6659556612738,1.801325204748125,9336.106416941104,10.63645280023458,10633.497360202391,10143.09834349466
93,5197.09,0,0,0,0,0,0,25.542791403328938,107.31516400570763,8.818176097585024,0,hold,10107.315164005708,257.89362529433856,745.6659556612738,1.801325204748125,9361.649208344434,10.63645280023458,10633.497360202391,10143.09834349466
94,5203.41,0,0,0,0,0,0,11.384375294007626,118.69953929971416,8.818176097585024,0,hold,10118.699539299714,270.36789218443664,745.6659556612738,1.801325204748125,9373.03358363844,10.63645280023458,10633.497360202391,10143.09834349466
95,5205.32,0,0,0,0,0,0,3.4405311410686568,122.14007044078244,8.818176097585024,0,hold,10122.140070440782,274.13780512115954,745.6659556612738,1.801325204748125,9376.474114779508,10.63645280023458,10633.497360202391,10143.09834349466
96,5210.49,0,0,0,0,0,0,9.312851308547938,131.45292174933093,8.818176097585024,0,hold,10131.452921749331,284.34222914359816,745.6659556612738,1.801325204748125,9385.786966088057,10.63645280023458,10633.497360202391,10143.09834349466
97,5198.5,0,0,0,0,0,0,-21.597889204929626,109.85503254440118,8.818176097585024,0,hold,10109.855032544401,260.67665002773174,745.6659556612738,1.801325204748125,9364.189076883127,10.63645280023458,10633.497360202391,10143.09834349466
98,5212.0,0,0,0,0,0,0,24.317890264099688,134.17292280850052,8.818176097585024,0,hold,10134.1729228085,287.3226315176562,745.6659556612738,1.801325204748125,9388.506967147227,10.63645280023458,10633.497360202391,10143.09834349466
99,5201.11,0,0,0,0,0,0,-19.61643147970767,114.55649132879444,8.818176097585024,0,hold,10114.556491328794,265.8282064491159,745.6659556612738,1.801325204748125,9368.89053566752,10.63645280023458,10633.497360202391,10143.09834349466
