Profit,Benchmark_Profit,Profit_Percent,Benchmark_Profit_Percent,Model_Reward,Overall_Reward
-9935.032329,5104.642447,-99.35032329,51.04642447,2,25368.5
483.7516325,9086.458849,4.837516325,90.86458849,2,6612.5
-2914.638705,11.88663705,-29.14638705,0.11886637,2,9351.5
-5.841834471,13896.35556,-0.058418345,138.9635556,2,21355
7969.730854,5766.765883,79.69730854,57.66765883,2,41195
-2668.134776,-2963.570721,-26.68134776,-29.63570721,2,33623.5
-2296.203392,-272.9396085,-22.96203392,-2.729396085,2,31032.5
17204.65828,28248.23879,172.0465828,282.4823879,2,41050
-1704.996515,2057.372761,-17.04996515,20.57372761,2,20992
-7129.307338,-7559.65557,-71.29307338,-75.5965557,2,17803.5
-272.9520977,-2469.827214,-2.729520977,-24.69827214,2,8720.5
159.3254505,5711.199681,1.593254505,57.11199681,2,37902
3202.598151,925.2040588,32.02598151,9.252040588,2,44709.5
-207.7252943,517.0170939,-2.077252943,5.170170939,2,7022
1888.159897,34783.06218,18.88159897,347.8306218,2,53603.5
1257.990295,-1768.219869,12.57990295,-17.68219869,2,36913
13534.31343,24598.14905,135.3431343,245.9814905,2,6379
18859.04929,13053.87513,188.5904929,130.5387513,2,35558
-1517.117921,10144.18696,-15.17117921,101.4418696,2,8822.5
5168.036585,36173.09695,51.68036585,361.7309695,2,55955
4402.242117,7105.082249,44.02242117,71.05082249,2,44056
6991.855501,34243.54574,69.91855501,342.4354574,2,30712.5
232.7078561,-1554.94862,2.327078561,-15.5494862,2,27809
-1357.377568,-4709.712732,-13.57377568,-47.09712732,2,14131
163.0104783,-2608.318348,1.630104783,-26.08318348,2,25127
-1273.760535,-1823.908255,-12.73760535,-18.23908255,2,6215.5
770.5195962,9477.523843,7.705195962,94.77523843,2,25497.5
5298.197039,7489.113397,52.98197039,74.89113397,2,19508.5
3666.812993,5037.67673,36.66812993,50.3767673,2,32891
534.9127155,2624.670644,5.349127155,26.24670644,2,38311
136.6534766,6213.384443,1.366534766,62.13384443,2,16117
713.2925352,-2460.603617,7.132925352,-24.60603617,2,29591.5
1240.301847,16836.87943,12.40301847,168.3687943,2,52933.5
3443.863761,13897.82781,34.43863761,138.9782781,2,42902
-1737.44108,-2151.419241,-17.3744108,-21.51419241,2,556
-1263.283706,3678.869003,-12.63283706,36.78869003,2,17613
6947.027757,21256.06968,69.47027757,212.5606968,2,12987.5
858.8601415,-2573.579693,8.588601415,-25.73579693,2,10290
-792.5116984,242.7261777,-7.925116984,2.427261777,2,28156.5
637.8307198,12577.25189,6.378307198,125.7725189,2,26285
1082.848181,519.0791291,10.82848181,5.190791291,2,43919.5
7189.657809,4103.201372,71.89657809,41.03201372,2,43690.5
812.9302968,4074.745778,8.129302968,40.74745778,2,40037
15249.46348,19151.15123,152.4946348,191.5115123,2,6127
2980.877665,6128.310485,29.80877665,61.28310485,2,47101
1843.344261,4021.866188,18.43344261,40.21866188,2,47821
755.0322568,1910.028701,7.550322568,19.10028701,2,38107
1065.652938,1490.803847,10.65652938,14.90803847,2,16326
3040.60919,15373.97233,30.4060919,153.7397233,2,23960
-4031.925807,-4964.175579,-40.31925807,-49.64175579,2,9331
7793.346305,5613.849615,77.93346305,56.13849615,2,50093
281.0521381,-1660.8269,2.810521381,-16.608269,2,46660
-956.6030164,-1919.478255,-9.566030164,-19.19478255,2,14720
27004.79155,28498.139,270.0479155,284.98139,2,55134
-1068.38622,-1531.138126,-10.6838622,-15.31138126,2,8439
14748.61019,14967.66332,147.4861019,149.6766332,2,44686
12942.76038,16477.56991,129.4276038,164.7756991,2,52955
827.2841817,2076.238927,8.272841817,20.76238927,2,4077
-942.486357,-307.1425985,-9.42486357,-3.071425985,2,26649
22696.3763,57440.6993,226.963763,574.406993,2,58471
256.9958137,671.628401,2.569958137,6.71628401,2,27226
1923.407675,2406.334092,19.23407675,24.06334092,2,16050
3019.055245,3094.653989,30.19055245,30.94653989,2,50597
15603.98311,19639.35081,156.0398311,196.3935081,2,24231
17622.7763,20422.9215,176.227763,204.229215,2,53793
15249.71727,14679.36559,152.4971727,146.7936559,2,54148.5
