#{"t_start": 1651920265.1120892, "env_id": null}
r,l,t
-1475.278563,19968,95.581166
-21.36512,3549,109.948901
-22.164817,5001,128.203765
-18.53254,10994,175.456159
-10.468673,20729,344.058395
4.142347,17398,415.909832
13.668644,16917,488.329329
24.652281,21427,691.87869
26.333262,10668,733.551208
18.308043,8923,770.743935
8.149365,4369,787.451343
28.323187,18981,976.374705
36.070438,22799,1076.106471
4.280295,3533,1090.656542
54.261597,27474,1332.529068
38.761387,18499,1413.907929
14.456764,3205,1428.584347
37.886978,17801,1652.643648
18.842197,4475,1669.817368
61.842579,28234,1801.607514
41.981496,22182,1992.896729
22.839227,15399,2058.582999
24.093969,13975,2116.781811
7.436622,7069,2143.663969
31.235985,12575,2323.981435
4.570939,3125,2336.548513
22.289632,12754,2389.572935
17.348004,9988,2430.400321
30.464634,16870,2500.3099
34.142801,19265,2672.063537
11.998753,8067,2704.781275
22.719219,14799,2763.908267
61.012823,26503,2971.929726
36.223107,21968,3067.429716
0.476025,279,3068.579799
18.921315,8876,3100.828424
12.966697,6574,3214.478793
8.261914,5180,3235.072236
28.074485,14321,3291.594745
25.635396,13452,3343.650878
42.646746,21998,3590.346506
43.832825,21851,3683.612784
40.363323,20020,3913.860854
5.505115,3065,3927.230452
56.647461,23557,4029.603064
45.095065,23915,4255.066114
34.968086,19055,4333.736297
17.572551,8167,4365.144279
24.789738,11998,4412.011947
15.579512,4670,4430.161993
48.071665,25054,4647.653876
51.180872,23334,4749.151768
16.394701,7362,4917.193436
65.259035,27574,5035.416294
8.860882,4259,5051.9826
41.241289,22346,5242.017722
61.04669,26479,5360.338536
5.716398,2058,5368.081633
26.0771,13330,5421.867204
69.425882,29241,5710.424392
28.815774,13614,5765.757504
18.12484,8027,5796.163152
55.302144,25303,6004.846197
25.151001,12117,6054.331668
64.989656,27004,6389.377022
66.214875,27089,6508.36271
