#{"t_start": 1652859671.6446843, "env_id": null}
r,l,t
-180.327857,721,60.863193
-204.304842,721,62.596439
-180.647999,721,67.01957
-155.80931,721,68.716365
-152.849237,721,70.348887
-166.45448,721,74.03435
-136.526666,721,75.626741
-133.743723,721,77.200372
-94.656638,721,80.901427
-93.665724,721,82.558509
-93.399661,721,84.200255
-106.349753,721,88.425264
-129.429825,721,90.134797
-96.204586,721,91.716051
-108.750226,721,95.912094
-94.344093,721,97.627086
-117.768887,721,99.283051
-102.499257,721,103.467847
-142.27847,721,105.181737
-92.163752,721,108.918821
-92.865557,721,110.668948
-105.174307,721,112.26064
-76.644151,721,116.218685
-75.002262,721,117.922602
-80.125983,721,119.630792
-73.83852,721,123.824423
-88.387926,721,125.598219
-98.552783,721,127.222225
-86.038919,721,131.319957
-70.344377,721,132.967092
-70.385025,721,134.787435
-71.241936,721,138.784673
-64.145057,721,140.408977
-49.133293,721,142.086492
-56.839798,721,146.106591
-54.78093,721,147.713955
-66.425408,721,151.703397
-46.99026,721,153.392484
-56.695877,721,155.018846
-59.742159,721,158.853131
-43.314125,721,160.519297
-50.7853,721,162.137314
-39.741279,721,166.451063
-55.6609,721,168.067502
-59.189704,721,169.920627
-43.263901,721,173.880501
-43.920208,721,175.485289
-40.962601,721,177.072895
-42.748819,721,181.20575
-47.803898,721,182.792844
-48.392192,721,184.469094
-43.516622,721,188.45681
-40.735724,721,190.091507
-37.942967,721,193.965309
-43.238578,721,195.675567
-29.92767,721,197.305435
-41.501061,721,201.093935
-24.815161,721,202.732434
-24.869923,721,204.367368
-28.163153,721,208.516862
-31.728963,721,210.058699
-28.24583,721,211.656138
-27.422126,721,215.73623
-30.066292,721,217.338883
-17.165513,721,218.992178
-27.48139,721,222.782381
-19.501423,721,224.461116
-35.657809,721,226.037996
-21.208923,721,229.79386
-34.961823,721,237.727088
-25.563696,721,239.338281
-18.081817,721,243.494936
-23.728516,721,245.084305
-22.945718,721,249.368536
-23.683765,721,251.07709
-17.58247,721,252.804
-20.252032,721,257.036184
-29.932997,721,258.652278
-14.940623,721,260.266406
-13.196137,721,264.860477
-17.131098,721,266.461933
-13.582163,721,268.08333
-8.1914,721,271.986284
-25.6671,721,273.620898
-34.605532,721,275.337837
-14.544313,721,279.614008
-28.620156,721,281.293629
-37.049648,721,283.49984
-24.401178,721,287.809147
-22.578333,721,289.613284
-16.33694,721,293.797153
-23.586705,721,295.407032
-6.082245,721,296.982521
-8.649776,721,300.824439
-16.594856,721,302.601022
-33.376832,721,304.319071
-19.027624,721,308.944029
-16.999751,721,310.608911
-7.433054,721,312.266195
-17.776717,721,316.533924
-5.234598,721,318.099304
-4.82935,721,319.684686
-13.441491,721,323.881015
-7.550421,721,325.70701
-17.100062,721,327.376937
-3.544925,721,331.162339
-10.897921,721,332.923438
-2.991354,721,336.704638
-14.970464,721,338.44315
-21.173659,721,340.097664
-14.410135,721,344.632855
-18.290387,721,346.236389
-5.933634,721,347.940481
-3.750873,721,352.171155
-14.94287,721,353.820808
-3.893589,721,355.45079
-20.116085,721,359.270035
-11.41718,721,360.982245
-3.580018,721,362.659997
-2.435904,721,366.679268
-7.59893,721,368.416458
-11.698382,721,370.007781
-5.065379,721,374.034404
-26.457413,721,375.712707
-4.650039,721,379.487333
0.098292,721,381.098097
-15.192258,721,382.792356
-16.035313,721,387.584378
-56.240424,721,389.257914
-32.004219,721,390.854385
-9.460006,721,394.770457
-1.208974,721,396.411314
-9.436751,721,398.126611
-13.049658,721,402.264534
-7.057692,721,403.858927
-7.105385,721,405.483793
-0.851147,721,409.478305
-0.38641,721,411.077989
-0.75859,721,419.053563
-4.889115,721,422.975583
-25.286237,721,424.583898
-5.433982,721,426.150339
-2.027734,721,430.293526
-14.571963,721,431.880987
-29.805369,721,436.052166
-1.660669,721,437.702948
-1.710147,721,439.366921
-7.361925,721,443.799949
-4.805867,721,445.399613
-9.880812,721,446.991131
-6.765038,721,450.903901
-8.195859,721,452.563589
-10.88903,721,454.170742
-12.202385,721,458.266128
0.073274,721,459.857266
-0.734795,721,461.468673
-5.142983,721,465.659815
-1.656741,721,467.535925
-17.829514,721,469.465956
0.291022,721,474.11282
-12.77051,721,475.702187
-3.003172,721,479.494454
-5.484799,721,481.255966
-0.251786,721,482.868774
-1.24068,721,487.313731
-1.636802,721,488.902397
-12.006127,721,490.513103
-11.392416,721,495.06711
-0.592641,721,496.871541
-5.117922,721,498.446047
-1.125038,721,502.250086
-3.834461,721,503.900732
-3.936983,721,505.608227
-8.577971,721,509.657068
-18.498461,721,511.324075
-8.260488,721,512.922526
-0.031323,721,517.434062
-20.355403,721,519.276279
-0.739428,721,523.402447
-0.719884,721,525.300373
-5.514943,721,527.197891
-0.099226,721,531.569823
0.444205,721,533.255432
-5.173962,721,534.853066
-7.413759,721,539.243023
-1.839017,721,541.17118
0.158332,721,543.039211
0.472076,721,547.360273
-7.312319,721,548.956775
-0.338204,721,550.579333
0.356568,721,555.097062
-1.613602,721,556.729038
0.362105,721,558.370892
0.003325,721,562.466681
-11.742143,721,564.150475
0.120807,721,568.119544
-2.56183,721,569.928566
-1.096557,721,571.549868
-0.531797,721,575.430176
-13.534525,721,577.079723
-6.85842,721,578.720486
-9.562773,721,582.703188
-10.47584,721,584.348592
-3.862809,721,585.987484
0.096428,721,590.285313
-6.177583,721,591.959636
0.459576,721,593.635629
-2.900771,721,597.631088
0.069095,721,605.661598
-0.82287,721,607.288527
-0.65498,721,611.538924
-7.313746,721,613.116231
-7.707308,721,614.881845
-15.912748,721,619.07397
-6.140222,721,620.694997
-11.179559,721,624.742741
0.485837,721,626.465883
-4.02703,721,628.058052
-3.137743,721,631.9771
-9.355519,721,633.689958
-3.763948,721,635.53307
-15.822991,721,639.837033
-0.027445,721,641.484972
0.470061,721,643.094262
-6.043788,721,647.313893
-2.680002,721,649.137023
-1.01638,721,650.792797
-0.598567,721,655.210659
-3.359957,721,657.122296
-18.322661,721,658.847203
-6.344849,721,663.122805
-4.34968,721,664.757885
-8.582062,721,668.659567
-23.021041,721,670.290395
-0.740905,721,671.998099
-0.818521,721,676.125942
-21.158809,721,677.831885
-2.412786,721,679.465073
-0.432487,721,683.70974
0.37172,721,685.4883
-1.369309,721,687.112383
0.191083,721,691.237334
-8.593276,721,692.873153
-0.821249,721,694.426297
-16.722392,721,698.21297
-1.453834,721,700.044366
-27.885589,721,701.942879
-0.467732,721,705.91456
-0.216277,721,707.476876
-20.663958,721,711.221087
-37.791194,721,712.884361
-28.072761,721,714.528112
-1.73006,721,718.405316
-0.736451,721,720.102024
-19.95826,721,721.679972
-0.043272,721,725.940485
0.388411,721,727.568278
0.060462,721,729.116011
-21.477132,721,733.023283
-20.364993,721,734.626021
-18.855348,721,736.288605
0.346757,721,740.515196
-9.830618,721,742.092349
-3.409497,721,743.849671
-17.928226,721,747.674422
-1.373271,721,749.260413
-22.655702,721,750.821211
-0.916619,721,754.602322
-6.128586,721,756.233693
-0.959362,721,760.16663
-0.167095,721,761.725265
-16.324728,721,763.343576
-1.21204,721,767.639569
-8.243254,721,769.643056
-4.533749,721,771.510932
-6.117394,721,775.693918
-4.387862,721,777.318398
0.225756,721,785.197997
-17.504119,721,789.446773
-8.651282,721,791.067281
-3.894188,721,792.72181
-8.255662,721,797.024908
-0.148932,721,798.601072
-13.191768,721,800.193862
-5.794877,721,804.203897
-11.493386,721,805.79203
-10.290641,721,809.954325
-8.422767,721,811.521707
-0.321594,721,813.11694
-1.814337,721,816.909964
-7.500786,721,818.487794
0.186151,721,820.078924
0.007584,721,823.922289
-4.626198,721,825.55442
-4.523221,721,827.16209
-10.386399,721,831.304576
-7.262855,721,832.995993
-1.959728,721,834.604745
-0.852268,721,838.854702
-10.787393,721,840.516094
-2.942048,721,842.228242
-1.054853,721,846.614536
-2.665746,721,848.226958
-5.75841,721,852.316442
-1.821696,721,854.051604
-1.825348,721,855.688358
-5.80199,721,859.651974
-8.142459,721,861.26466
0.296014,721,862.951626
-8.615691,721,866.921022
-0.297666,721,868.495433
-3.360712,721,870.085894
-0.765121,721,874.307752
-0.430304,721,875.915758
-5.277008,721,877.662706
-12.360129,721,881.717545
-1.017761,721,883.434425
0.338504,721,885.037368
-7.212286,721,888.959312
-6.759664,721,890.569793
-7.951534,721,894.926008
-6.682416,721,896.680428
0.319191,721,898.329714
-3.151072,721,902.497352
-4.022275,721,904.204348
-4.144967,721,905.772672
-0.66679,721,909.623788
-3.82039,721,911.249321
-0.082099,721,912.890841
-0.204467,721,917.02211
-1.992266,721,918.594232
-4.046063,721,920.15241
-3.546375,721,924.229918
-0.747537,721,925.810489
-2.218791,721,927.371889
-2.881459,721,931.582802
-3.479722,721,933.149537
-5.792289,721,934.744222
-3.25229,721,939.004591
0.231235,721,940.696926
0.252306,721,945.29235
0.20659,721,946.938761
-0.851714,721,948.658436
-2.468204,721,952.613167
-0.751618,721,954.36512
-0.462647,721,956.042014
-1.048686,721,966.61407
0.359171,721,968.187012
-7.03712,721,969.753268
-2.878845,721,973.77855
-7.438987,721,975.391534
-1.411857,721,976.953417
0.193351,721,981.046113
-1.43428,721,982.900861
-1.643072,721,984.628021
-4.074037,721,988.949445
0.147573,721,990.585995
-2.484345,721,994.370304
-18.024302,721,996.103971
0.398934,721,997.700449
-7.447779,721,1001.693323
-6.150213,721,1003.273883
0.256671,721,1004.853062
-3.001197,721,1009.082839
-3.244685,721,1010.657167
0.380553,721,1012.257171
-0.645283,721,1016.244602
0.309438,721,1017.914724
-2.69514,721,1019.578609
-0.988276,721,1023.732274
-4.14594,721,1025.327696
-0.305473,721,1026.902521
-3.73705,721,1030.871213
0.155055,721,1032.624172
-3.95777,721,1036.485574
0.256001,721,1038.198328
-4.917443,721,1039.760096
-3.861822,721,1044.097778
0.163343,721,1045.816099
-0.842521,721,1047.507223
-5.503151,721,1051.655432
-4.919716,721,1053.254346
-3.372204,721,1054.981426
-0.642945,721,1059.276681
0.901035,721,1060.942279
-1.731206,721,1062.775796
-1.135655,721,1066.825024
-26.074817,721,1068.444487
-0.141969,721,1070.040329
-0.019882,721,1074.012432
-5.570823,721,1075.626918
-1.911889,721,1079.811009
-0.683789,721,1081.529534
-4.273744,721,1083.104501
0.440706,721,1087.636157
0.736787,721,1089.263596
0.349228,721,1090.986703
-0.157881,721,1095.180357
-0.715649,721,1096.767917
0.28109,721,1098.352374
-1.056804,721,1102.498576
0.204377,721,1104.154284
-0.007384,721,1105.730335
-0.258677,721,1110.328651
0.247418,721,1111.975083
-2.214239,721,1113.574576
-0.615154,721,1117.573645
-1.029219,721,1119.20876
0.379321,721,1120.78013
-2.603514,721,1125.129608
0.114552,721,1126.807012
-1.964207,721,1131.006392
-0.457072,721,1132.835785
-0.818014,721,1134.541854
-1.55358,721,1138.603591
-3.890824,721,1140.415596
-1.264756,721,1148.281927
-0.820706,721,1152.600414
-5.819849,721,1154.206198
-0.458716,721,1155.885575
0.082662,721,1159.778791
-0.866379,721,1161.396272
-0.171559,721,1163.035144
-0.224059,721,1166.678008
-1.726146,721,1168.305251
-0.503634,721,1169.934416
-2.467316,721,1174.1075
-1.108846,721,1175.722537
-0.446821,721,1179.246917
-0.013261,721,1180.914189
0.020194,721,1182.520182
-9.695388,721,1187.330955
-3.680476,721,1189.388927
-1.86028,721,1191.027135
-1.057885,721,1195.64272
0.15791,721,1197.674434
-0.276102,721,1199.374693
0.164914,721,1203.494399
0.007044,721,1205.158973
0.114471,721,1206.808324
-0.194867,721,1211.004516
0.10936,721,1212.780752
-6.187926,721,1214.435064
-1.745033,721,1218.314608
-1.059231,721,1219.88845
0.010652,721,1224.239078
-0.053193,721,1225.994897
-0.106953,721,1227.624074
-1.006978,721,1231.782223
-8.85598,721,1233.530963
-0.01618,721,1235.49465
-8.945842,721,1239.887063
-14.234911,721,1241.598929
-0.265454,721,1243.30614
-0.955387,721,1247.990393
-0.578415,721,1249.722667
-0.079918,721,1251.353555
0.371052,721,1255.623704
0.168951,721,1257.458441
0.166922,721,1259.045049
-0.074212,721,1263.525359
-0.829575,721,1265.116461
0.284785,721,1266.720384
-0.441942,721,1270.478952
0.416675,721,1272.079429
0.012963,721,1276.082548
-0.14196,721,1277.680452
0.125696,721,1279.327015
0.04865,721,1283.393396
-8.380236,721,1285.309346
-0.137062,721,1286.929066
-0.43906,721,1291.404522
0.253302,721,1293.070642
-0.404633,721,1294.752918
-0.301268,721,1298.918331
-0.117631,721,1300.570865
-0.051971,721,1302.235059
-0.896662,721,1306.510133
-0.543026,721,1308.160557
-0.174834,721,1309.889828
-0.133912,721,1314.457793
-0.146641,721,1316.072026
-0.494653,721,1320.110211
-0.615983,721,1321.696198
-3.096993,721,1323.384933
-0.709715,721,1333.831073
-1.432841,721,1335.774039
0.002408,721,1337.372798
-0.308631,721,1342.120305
-0.753471,721,1343.832165
0.341983,721,1345.471481
-0.31122,721,1349.809257
-0.155423,721,1351.495722
0.204309,721,1353.141707
-0.129077,721,1357.304821
0.193655,721,1358.88303
-0.110616,721,1360.469564
0.206112,721,1364.328339
-0.071068,721,1365.95998
-1.375551,721,1369.867927
0.01242,721,1371.453696
-0.057558,721,1373.260856
0.116572,721,1378.280562
-0.113288,721,1380.224543
0.239463,721,1382.086348
-0.360412,721,1386.569934
-0.419564,721,1388.22451
-0.177029,721,1389.785658
-0.251368,721,1393.797961
-0.41482,721,1395.438839
-0.122434,721,1397.081774
-0.164631,721,1400.933764
-0.125865,721,1402.670425
-0.243195,721,1404.383146
0.526599,721,1409.266309
0.017196,721,1410.918501
0.145918,721,1414.972663
0.159566,721,1416.683648
0.59719,721,1418.489084
-0.272822,721,1423.06713
-0.257789,721,1424.770679
0.495428,721,1426.359129
0.125696,721,1430.39192
0.563833,721,1432.214413
-0.822083,721,1433.864477
0.48903,721,1438.462802
